file,n_stimuli,n_voxels,frac_voxels_near_constant,pattern_effective_rank,pc1_vs_global_signal,pc1_vs_mean_map,rdm_vs_amplitude_rsa,top2_variance_share
sub-5007_ses-7_run-01_patterns.npz,40,9036,0.0,5,0.6727954971857412,0.9707123612272512,0.36740775000009485,0.6704972979871087
sub-5007_ses-7_run-02_patterns.npz,40,8087,0.0,6,0.7754221388367731,0.8975322968300219,0.49856208988357464,0.5948672104336074
sub-5008_ses-5_run-01_patterns.npz,40,8756,0.0,3,0.998874296435272,0.9961341256594735,0.6558758567726367,0.8922423658513817
sub-5008_ses-5_run-02_patterns.npz,40,8902,0.0,4,0.9174484052532835,0.8651697923991962,0.7279286733263483,0.8066837009072707
sub-5008_ses-7_run-01_patterns.npz,40,7335,0.0,6,0.2392120075046905,0.4126245368343952,0.17392811675839753,0.5873427067677852
sub-5008_ses-7_run-02_patterns.npz,40,7350,0.0,5,0.6166979362101315,0.6334448264614355,0.3956588205589272,0.6845611940165859
sub-5007_ses-5_run-01_patterns.npz,48,10599,0.0,2,0.9891445940078158,0.9844329211527268,0.3980528260250022,0.9663267342259012
sub-5007_ses-5_run-02_patterns.npz,48,10656,0.0,2,0.999240121580547,0.22038938054710613,0.6691968885790295,0.9172868890025513
sub-5007_ses-7_run-01_patterns.npz,48,8657,0.0,2,0.49164133738601823,0.0716926167658698,0.24620650235432762,0.9093698892318101
sub-5007_ses-7_run-02_patterns.npz,48,9080,0.0,2,0.9597264437689969,0.8173436347911207,0.4712931428498522,0.9385388904705256
sub-5008_ses-5_run-01_patterns.npz,48,8917,0.0,3,0.9171732522796352,0.7913097517719376,0.7268720824241317,0.8182300836556838
sub-5008_ses-5_run-02_patterns.npz,48,9121,0.0,3,0.9706904038211029,0.5787752535413896,0.6409513370631195,0.8786586712371611
