dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,repo,ceiling_lower,ceiling_upper,ceiling_n_stim,ceiling_n_subjects,frac_of_ceiling,seed_null_sd,params
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Orth,ses-11,96,-0.0174933978480589,-0.0093697728838791,-0.0115849505316262,BrainAlign/gpt2-babylm-3,0.3957014738594727,0.6947770841127893,96,3,-0.04420857389647079,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Orth,ses-11,96,-0.0174933978480589,-0.0093697728838791,-0.0115849505316262,BrainAlign/gpt2-babylm-3,0.3957014738594727,0.6947770841127893,96,3,-0.04420857389647079,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Orth,ses-11,96,-0.0383431668967986,-0.020766377441757,-0.0253581694970041,BrainAlign/gpt2-babylm-3,0.3957014738594727,0.6947770841127893,96,3,-0.0968992268914712,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Orth,ses-11,96,-0.0383431668967986,-0.020766377441757,-0.0253581694970041,BrainAlign/gpt2-babylm-3,0.3957014738594727,0.6947770841127893,96,3,-0.0968992268914712,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Orth,ses-11,96,-0.0401416145825503,-0.025800692101647,-0.0264785675529028,BrainAlign/gpt2-babylm-3,0.3957014738594727,0.6947770841127893,96,3,-0.10144418768782747,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Orth,ses-11,96,-0.0401416145825503,-0.025800692101647,-0.0264785675529028,BrainAlign/gpt2-babylm-3,0.3957014738594727,0.6947770841127893,96,3,-0.10144418768782747,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Orth,ses-11,96,-0.0437936319274326,-0.0283119629221907,-0.0288361559744942,BrainAlign/gpt2-babylm-3,0.3957014738594727,0.6947770841127893,96,3,-0.1106734111963031,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Orth,ses-11,96,-0.0437936319274326,-0.0283119629221907,-0.0288361559744942,BrainAlign/gpt2-babylm-3,0.3957014738594727,0.6947770841127893,96,3,-0.1106734111963031,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Orth,ses-11,96,-0.0368072483824418,-0.0234902565810512,-0.0242433513043411,BrainAlign/gpt2-babylm-3,0.3957014738594727,0.6947770841127893,96,3,-0.09301771869445534,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Orth,ses-11,96,-0.0368072483824418,-0.0234902565810512,-0.0242433513043411,BrainAlign/gpt2-babylm-3,0.3957014738594727,0.6947770841127893,96,3,-0.09301771869445534,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Orth,ses-11,96,-0.0406271316577051,-0.0274062410802967,-0.0269745981536424,BrainAlign/gpt2-babylm-3,0.3957014738594727,0.6947770841127893,96,3,-0.10267116587019134,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Orth,ses-11,96,-0.0406271316577051,-0.0274062410802967,-0.0269745981536424,BrainAlign/gpt2-babylm-3,0.3957014738594727,0.6947770841127893,96,3,-0.10267116587019134,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Orth,ses-11,96,-0.040519870283664,-0.0297565234297293,-0.0268118200744238,BrainAlign/gpt2-babylm-3,0.3957014738594727,0.6947770841127893,96,3,-0.10240009947007175,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Orth,ses-11,96,-0.040519870283664,-0.0297565234297293,-0.0268118200744238,BrainAlign/gpt2-babylm-3,0.3957014738594727,0.6947770841127893,96,3,-0.10240009947007175,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Orth,ses-11,96,-0.0399812529858473,-0.0300428978138913,-0.0266149855885601,BrainAlign/gpt2-babylm-3,0.3957014738594727,0.6947770841127893,96,3,-0.10103892865470102,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Orth,ses-11,96,-0.0399812529858473,-0.0300428978138913,-0.0266149855885601,BrainAlign/gpt2-babylm-3,0.3957014738594727,0.6947770841127893,96,3,-0.10103892865470102,,134601216
