dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-01,191,,Phon,ses-5,72,-0.01250339480160491,-0.008028719514352065,-0.008415179049946559
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-02,382,,Phon,ses-5,72,-0.047926681993878145,-0.025305481723028288,-0.03199532047689485
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-03,573,,Phon,ses-5,72,-0.01932003030661131,-0.02309822064601857,-0.012786613133902348
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-04,764,,Phon,ses-5,72,-0.01713366974121746,-0.029514197125098875,-0.011086304738629647
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-05,1146,,Phon,ses-5,72,-0.008439057565382903,-0.021838596960867394,-0.00472913585010826
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-06,1337,,Phon,ses-5,72,-0.018549216449877063,-0.023551840738720457,-0.011982396663083523
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-07,1528,,Phon,ses-5,72,-0.00944814683598957,-0.017717162764071977,-0.005682190555815869
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-08,1719,,Phon,ses-5,72,-0.00948616322432122,-0.014767413391728289,-0.005696890628397478
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-09,1908,,Phon,ses-5,72,-0.010771463811791268,-0.01650279098961515,-0.006536019771597622
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-01,191,,Phon,ses-7,72,-0.05757234919796771,-0.0071319371037837755,-0.039233881217288505
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-02,382,,Phon,ses-7,72,-0.06065905471526764,-0.022215404388261632,-0.04021266105001393
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-03,573,,Phon,ses-7,72,-0.04893830942719298,-0.02365468902988113,-0.03213680867549283
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-04,764,,Phon,ses-7,72,-0.06042374144938023,-0.02799371847306052,-0.040237773674007514
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-05,1146,,Phon,ses-7,72,-0.04010247853492793,-0.019428838989850872,-0.026900520321319087
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-06,1337,,Phon,ses-7,72,-0.03583401969543118,-0.021744145028397978,-0.024022981113469247
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-07,1528,,Phon,ses-7,72,-0.03273139173443793,-0.016640448357576214,-0.021985796054868022
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-08,1719,,Phon,ses-7,72,-0.028380082578750028,-0.01357620476494503,-0.019082531720000368
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-09,1908,,Phon,ses-7,72,-0.031112942919138846,-0.015594705832243833,-0.020871040550762717
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-01,191,,Phon,ses-9,72,-0.03392508275734484,-0.009176637152517004,-0.02200294613954656
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-02,382,,Phon,ses-9,72,-0.04917236151653655,-0.01814551481778812,-0.032749924202750746
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-03,573,,Phon,ses-9,72,-0.0325418947487379,-0.020128231122404975,-0.021538056344153195
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-04,764,,Phon,ses-9,72,-0.031437800438257765,-0.023331548940919114,-0.021002728700972962
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-05,1146,,Phon,ses-9,72,-0.015815889725683718,-0.013938013106291584,-0.010376413733542809
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-06,1337,,Phon,ses-9,72,-0.019742682545001517,-0.01710628375753922,-0.013173102542193801
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-07,1528,,Phon,ses-9,72,-0.015464789673785404,-0.01274064948976059,-0.010067712209329033
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-08,1719,,Phon,ses-9,72,-0.012302823895368969,-0.010032212113155439,-0.008013377066049262
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-09,1908,,Phon,ses-9,72,-0.012306183439723633,-0.011757304728660387,-0.00798642693298298
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-01,191,,Plaus,ses-5,60,-0.02440294306717306,-0.03672893495830142,-0.01661700408478728
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-02,382,,Plaus,ses-5,60,-0.04845416229829609,-0.04711472000257232,-0.03248731288704078
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-03,573,,Plaus,ses-5,60,-0.05375172389339661,-0.05238984296857054,-0.036209930600134776
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-04,764,,Plaus,ses-5,60,-0.052432804682159315,-0.044776114527078435,-0.03483917946556036
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-05,1146,,Plaus,ses-5,60,-0.05018509390455121,-0.04046545695485332,-0.03351825059962378
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-06,1337,,Plaus,ses-5,60,-0.04468088556155665,-0.034588424494665274,-0.02996426210345786
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-07,1528,,Plaus,ses-5,60,-0.040001647686024454,-0.028735632532648957,-0.026334901457301357
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-08,1719,,Plaus,ses-5,60,-0.040087935882161585,-0.026939461966338188,-0.026506085662364703
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-09,1908,,Plaus,ses-5,60,-0.040261042459720835,-0.026517155388068602,-0.02664022253946658
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-01,191,,Sem,ses-5,72,-0.007816969838955768,0.006653320282496605,-0.004718110795672054
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-02,382,,Sem,ses-5,72,-0.0029414675641687613,0.006944152967670241,-0.0020990478640488283
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-03,573,,Sem,ses-5,72,0.00141758327522669,0.005121917533744899,0.0006302656119364589
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-04,764,,Sem,ses-5,72,0.008073999774447019,0.009826407241896339,0.005579902550768844
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-05,1146,,Sem,ses-5,72,0.0059579841154347194,0.0018809610803644274,0.0038250813863393448
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-06,1337,,Sem,ses-5,72,0.011671498320240399,0.011631114899711466,0.007603000039812696
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-07,1528,,Sem,ses-5,72,0.00027974261118612355,0.007907985558503871,0.00014332570767068163
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-08,1719,,Sem,ses-5,72,0.005184941102211025,0.010380637073678587,0.00344839202643563
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-09,1908,,Sem,ses-5,72,0.002433791905388792,0.009350798013114212,0.001587607838813704
