task,dataset,session,token_bin,mean,ci_lo,ci_hi,n,tokens
Gram,ds003604,ses-5,0.0,0.027856512821583922,0.019346931507733103,0.03636609413543474,14,2902570.9709944464
Gram,ds003604,ses-5,1.0,0.024690229914902894,0.018665842809328308,0.03071461702047748,23,6113480.780310711
Gram,ds003604,ses-5,2.0,0.018198137188711324,0.011076757549236347,0.0253195168281863,18,12876393.93651883
Gram,ds003604,ses-5,3.0,0.023867186576275526,0.01862446919102738,0.029109903961523673,32,27120641.540643267
Gram,ds003604,ses-5,4.0,0.014143478858440056,-0.0021985906034113177,0.03048554832029143,9,57122296.91031942
Gram,ds003604,ses-5,5.0,0.03417828607542722,0.017355667298086044,0.0510009048527684,9,120312670.31131203
Gram,ds003604,ses-5,6.0,0.035387002488142076,0.02839132390238317,0.04238268107390098,9,253406102.70213875
Gram,ds003604,ses-5,7.0,0.023858426502284952,0.016859708428137363,0.03085714457643254,23,533731424.30078125
Gram,ds003604,ses-5,8.0,0.03683351601793044,0.024543766368514255,0.04912326566734662,9,1124160903.1846583
Gram,ds003604,ses-5,9.0,0.03073264773487179,0.020422136259914063,0.04104315920982952,9,2367740924.950251
Gram,ds003604,ses-5,11.0,0.02592508415302171,0.019592182735132312,0.03225798557091111,14,10503779302.537245
Gram,ds003604,ses-5,12.0,0.024945861918805566,0.020701186631784812,0.02919053720582632,14,22123370463.07825
Gram,ds003604,ses-5,13.0,0.025084099153066284,0.019968759337281886,0.030199438968850682,15,46596896845.34551
Gram,ds003604,ses-5,14.0,0.02077719720264935,0.01659688908531292,0.02495750531998578,15,98143761559.27098
Gram,ds003604,ses-5,15.0,0.022977517494793407,0.01990120962644814,0.026053825363138675,30,206713291766.44907
Gram,ds003604,ses-7,0.0,0.021476465592632367,0.014596162532869918,0.028356768652394816,14,2902570.9709944464
Gram,ds003604,ses-7,1.0,0.01721625255009385,0.011608101544956909,0.022824403555230792,23,6113480.780310711
Gram,ds003604,ses-7,2.0,0.010124937927971662,0.0025859827534390686,0.017663893102504255,18,12876393.93651883
Gram,ds003604,ses-7,3.0,0.020001731650061395,0.014401500156521306,0.025601963143601483,32,27120641.540643267
Gram,ds003604,ses-7,4.0,0.011469758072949955,-0.0053081628979995965,0.028247679043899507,9,57122296.91031942
Gram,ds003604,ses-7,5.0,0.03332042512499516,0.01821586242173693,0.04842498782825339,9,120312670.31131203
Gram,ds003604,ses-7,6.0,0.033155254735878645,0.027955597960167927,0.03835491151158936,9,253406102.70213875
Gram,ds003604,ses-7,7.0,0.02043694713128502,0.013921506419046232,0.02695238784352381,23,533731424.30078125
Gram,ds003604,ses-7,8.0,0.02977012652605527,0.01969269259643544,0.0398475604556751,9,1124160903.1846583
Gram,ds003604,ses-7,9.0,0.025625425542443913,0.015637348739533083,0.03561350234535474,9,2367740924.950251
Gram,ds003604,ses-7,11.0,0.020451178913237073,0.014917668611472888,0.025984689215001258,14,10503779302.537245
Gram,ds003604,ses-7,12.0,0.01925439692491541,0.015656052382981744,0.02285274146684908,14,22123370463.07825
Gram,ds003604,ses-7,13.0,0.018045510069739642,0.013069944512558839,0.023021075626920445,15,46596896845.34551
