task,token_bin,mean,ci_lo,ci_hi,n,tokens
Gram,0.0,0.01997915708139921,0.012150674630535171,0.02780763953226325,14,2902570.9709944464
Gram,1.0,0.015957804921202995,0.009841602233751957,0.022074007608654033,23,6113480.780310711
Gram,2.0,0.008438364590879554,0.0013851735635266853,0.015491555618232422,18,12876393.93651883
Gram,3.0,0.017085729981301614,0.011658676137175649,0.02251278382542758,32,27120641.540643267
Gram,4.0,0.007255622484766546,-0.009304649039094622,0.023815894008627714,9,57122296.91031942
Gram,5.0,0.026483732635570155,0.010354140633462756,0.04261332463767756,9,120312670.31131203
Gram,6.0,0.027104782477933555,0.020956089849230267,0.03325347510663684,9,253406102.70213875
Gram,7.0,0.016205562963017502,0.009619146829139287,0.022791979096895718,23,533731424.30078125
Gram,8.0,0.026422337733825896,0.015099573735999424,0.03774510173165237,9,1124160903.1846583
Gram,9.0,0.0211002378563734,0.010769634965837412,0.03143084074690939,9,2367740924.950251
Gram,11.0,0.016048323633428764,0.009894548323309414,0.022202098943548115,14,10503779302.537245
Gram,12.0,0.015311540039578558,0.011691759779775095,0.01893132029938202,14,22123370463.07825
Gram,13.0,0.014194126512079247,0.008882370467049894,0.019505882557108598,15,46596896845.34551
Gram,14.0,0.011356065891861533,0.0067517418142545955,0.01596038996946847,15,98143761559.27098
Gram,15.0,0.013624394554721416,0.010473490692092016,0.016775298417350815,30,206713291766.44907
Phon,0.0,-0.014462161089678417,-0.02954141951160494,0.0006170973322481062,14,2902570.9709944464
Phon,1.0,-0.0029133433217235554,-0.01483884534656767,0.009012158703120558,23,6113480.780310711
Phon,2.0,0.010511039797807138,0.0020670033439510755,0.0189550762516632,18,12876393.93651883
Phon,3.0,-0.0017709592838992545,-0.014142522150344871,0.010600603582546364,32,27120641.540643267
Phon,4.0,-0.009724527001258716,-0.042667097072538185,0.02321804307002075,9,57122296.91031942
Phon,5.0,-0.016327164956515587,-0.03520328352920292,0.0025489536161717417,9,120312670.31131203
Phon,6.0,-0.008396262681986818,-0.0363041188475219,0.019511593483548265,9,253406102.70213875
Phon,7.0,0.008981060656424185,-0.00609370474743323,0.0240558260602816,23,533731424.30078125
Phon,8.0,0.046122525193217925,0.034503516031199916,0.057741534355235935,9,1124160903.1846583
Phon,9.0,0.05686658202812383,0.04158963850797502,0.07214352554827264,9,2367740924.950251
Phon,11.0,0.0728268443978655,0.06097183589164583,0.08468185290408518,14,10503779302.537245
Phon,12.0,0.06173338418880752,0.048094031583226456,0.07537273679438858,14,22123370463.07825
Phon,13.0,0.032961766354776725,0.014289329001964127,0.051634203707589324,15,46596896845.34551
Phon,14.0,0.046180945836475765,0.029690721558285796,0.06267117011466573,15,98143761559.27098
Phon,15.0,0.0474774904751885,0.03850558482770227,0.05644939612267472,30,206713291766.44907
