mask,task,mean,ci_lo,ci_hi,n_checkpoints,mask_voxels
whole-brain,Sem,-0.0036108163081884073,-0.004793924928745287,-0.002427707687631528,287,
whole-brain,Phon,-0.007750165492993787,-0.009137030431276174,-0.006363300554711401,287,
whole-brain,Gram,0.015255384017869527,0.013896510811820518,0.016614257223918537,287,
whole-brain,Plaus,0.0006571490652092763,-0.0007579198175005532,0.002072217947919106,287,
auditory,Sem,-0.003295310919075761,-0.004488390371956706,-0.002102231466194816,287,5911.0
auditory,Phon,-0.007509112419275059,-0.008837007119958237,-0.0061812177185918814,287,5911.0
auditory,Gram,0.013543352214464179,0.01220076439707535,0.014885940031853008,287,5911.0
auditory,Plaus,0.0010330683250292505,-0.0005679422392034542,0.0026340788892619555,287,5911.0
motor,Sem,-0.003179814707245831,-0.004371229994829021,-0.0019883994196626406,287,6907.0
motor,Phon,-0.00828066472850935,-0.00965567493013377,-0.0069056545268849304,287,6907.0
motor,Gram,0.009147325760991963,0.007932116411747844,0.010362535110236083,287,6907.0
motor,Plaus,0.0018696604001521722,0.0004966576879582348,0.0032426631123461096,287,6907.0
phonology,Sem,-0.00363080272324818,-0.004835294372141415,-0.002426311074354945,287,12818.0
phonology,Phon,-0.00754458079038534,-0.008935177750009758,-0.006153983830760923,287,12818.0
phonology,Gram,0.004082396323958187,0.002928886224333271,0.005235906423583103,287,12818.0
phonology,Plaus,0.0029241758893099627,0.0013854527567739442,0.004462899021845981,287,12818.0
