phenomenon,token_bin,model_gini_mean,ci_lo,ci_hi,n,tokens
Gram,0.0,0.4179941858799137,0.41615165282861677,0.41983671893121066,14,2902570.9709944464
Gram,1.0,0.4173362071809256,0.41555048683488094,0.4191219275269703,23,6113480.780310711
Gram,2.0,0.4166288256581781,0.41311149710999284,0.42014615420636336,18,12876393.93651883
Gram,3.0,0.4165304928389708,0.41441459347492093,0.4186463922030207,32,27120641.540643267
Gram,4.0,0.41531380849436356,0.40952829510355104,0.42109932188517607,9,57122296.91031942
Gram,5.0,0.4114516286326213,0.4028139660646281,0.4200892912006145,9,120312670.31131203
Gram,6.0,0.41622753417189395,0.4118059754278718,0.4206490929159161,9,253406102.70213875
Gram,7.0,0.4191771702186094,0.4173239963710938,0.421030344066125,23,533731424.30078125
Gram,8.0,0.422132306047739,0.419298811264839,0.424965800830639,9,1124160903.1846583
Gram,9.0,0.4200977454656184,0.4168384688571878,0.423357022074049,9,2367740924.950251
Gram,11.0,0.4174350115105923,0.41551795900789573,0.4193520640132889,14,10503779302.537245
Gram,12.0,0.41655257595427503,0.4142550855838186,0.41885006632473143,14,22123370463.07825
Gram,13.0,0.4171110396348354,0.41508229011714637,0.4191397891525245,15,46596896845.34551
Gram,14.0,0.4176597883543673,0.4165251133525355,0.4187944633561991,15,98143761559.27098
Gram,15.0,0.41736822867792855,0.41582387810729077,0.41891257924856634,30,206713291766.44907
Phon,0.0,0.41753183459212473,0.415010840593826,0.4200528285904235,14,2902570.9709944464
Phon,1.0,0.41794778714767117,0.4162312844968848,0.41966428979845755,23,6113480.780310711
Phon,2.0,0.4180496253573708,0.4134497379973592,0.4226495127173824,18,12876393.93651883
Phon,3.0,0.4162149732679354,0.4129714044858884,0.41945854204998234,32,27120641.540643267
Phon,4.0,0.41794961747987913,0.4110130159276107,0.42488621903214757,9,57122296.91031942
Phon,5.0,0.4086690128374534,0.39650403108380794,0.4208339945910988,9,120312670.31131203
Phon,6.0,0.40976524773392115,0.4018049044486035,0.4177255910192388,9,253406102.70213875
Phon,7.0,0.41570359931653245,0.41401777096615805,0.41738942766690684,23,533731424.30078125
Phon,8.0,0.4131330978166379,0.4105424990097212,0.4157236966235546,9,1124160903.1846583
Phon,9.0,0.41461371207955716,0.41058474284045904,0.4186426813186553,9,2367740924.950251
Phon,11.0,0.41770795459552984,0.41499050600253795,0.42042540318852173,14,10503779302.537245
Phon,12.0,0.41655536864721227,0.4144336938161706,0.4186770434782539,14,22123370463.07825
Phon,13.0,0.4119866993761651,0.40848204448909897,0.41549135426323125,15,46596896845.34551
Phon,14.0,0.41368530093142736,0.409448573011666,0.41792202885118873,15,98143761559.27098
Phon,15.0,0.4124869326828441,0.4100315502268047,0.41494231513888347,30,206713291766.44907
Plaus,0.0,0.41842432314519656,0.4170693549596595,0.4197792913307336,14,2902570.9709944464
Plaus,1.0,0.41681659723912295,0.41487138582669786,0.41876180865154805,23,6113480.780310711
Plaus,2.0,0.41841487017505874,0.4150253930455158,0.4218043473046017,18,12876393.93651883
Plaus,3.0,0.41591366709534083,0.4138339169140353,0.41799341727664635,32,27120641.540643267
Plaus,4.0,0.41501078147903164,0.41010641004179993,0.41991515291626336,9,57122296.91031942
Plaus,5.0,0.4102438218185877,0.40289145905943796,0.41759618457773745,9,120312670.31131203
Plaus,6.0,0.417283179928541,0.413207821566732,0.42135853829035,9,253406102.70213875
Plaus,7.0,0.4193577402787183,0.41737270343151617,0.42134277712592044,23,533731424.30078125
Plaus,8.0,0.4177057760511002,0.4147227958497191,0.4206887562524813,9,1124160903.1846583
Plaus,9.0,0.4154130275770723,0.41288687507467803,0.4179391800794666,9,2367740924.950251
Plaus,11.0,0.41550513407387746,0.41235898482945055,0.41865128331830437,14,10503779302.537245
Plaus,12.0,0.41665341350871454,0.4146707541700425,0.4186360728473866,14,22123370463.07825
Plaus,13.0,0.41705558170314455,0.41529293222775493,0.4188182311785342,15,46596896845.34551
Plaus,14.0,0.4185129436260411,0.4168544407013873,0.4201714465506949,15,98143761559.27098
Plaus,15.0,0.4188181791186809,0.41746570681388245,0.42017065142347937,30,206713291766.44907
Sem,0.0,0.4186001480059348,0.4164874159240202,0.4207128800878494,14,2902570.9709944464
Sem,1.0,0.4177092650121409,0.41589634027150557,0.4195221897527762,23,6113480.780310711
Sem,2.0,0.42154208827103046,0.4186881264610327,0.4243960500810282,18,12876393.93651883
Sem,3.0,0.41846283372041504,0.41620650650119606,0.420719160939634,32,27120641.540643267
Sem,4.0,0.4206523011457246,0.41442748555618125,0.42687711673526796,9,57122296.91031942
Sem,5.0,0.4178869416423936,0.4121343704528706,0.4236395128319166,9,120312670.31131203
Sem,6.0,0.4190728719471009,0.4152083018209205,0.4229374420732813,9,253406102.70213875
Sem,7.0,0.4151770443150442,0.4137359590573515,0.4166181295727369,23,533731424.30078125
Sem,8.0,0.41629213699492945,0.41165633944942936,0.42092793454042954,9,1124160903.1846583
Sem,9.0,0.4145788763698739,0.41147526509683785,0.41768248764290994,9,2367740924.950251
Sem,11.0,0.4163608547052231,0.41269358050973687,0.42002812890070934,14,10503779302.537245
Sem,12.0,0.41577817482614987,0.4131265019210509,0.41842984773124886,14,22123370463.07825
Sem,13.0,0.41678628821180663,0.4127363395888434,0.42083623683476984,15,46596896845.34551
Sem,14.0,0.41792108979860415,0.4146985862542369,0.4211435933429714,15,98143761559.27098
Sem,15.0,0.4161594360569404,0.41246958854870747,0.4198492835651733,30,206713291766.44907
