phenomenon,token_bin,mean,ci_lo,ci_hi,n,tokens
Gram,0.0,0.456610860157925,0.42691161367594443,0.4863101066399056,14,2902570.9709944464
Gram,1.0,0.4721543506243805,0.44705502677060327,0.4972536744781577,23,6113480.780310711
Gram,2.0,0.5032087782909612,0.4651168916014945,0.541300664980428,18,12876393.93651883
Gram,3.0,0.4859592903664418,0.45813485597416914,0.5137837247587145,32,27120641.540643267
Gram,4.0,0.4991657173811497,0.4241910790482282,0.5741403557140711,9,57122296.91031942
Gram,5.0,0.5943877206424115,0.5386333160333072,0.6501421252515158,9,120312670.31131203
Gram,6.0,0.6363394345044244,0.5778398403472463,0.6948390286616025,9,253406102.70213875
Gram,7.0,0.5915194870665479,0.5480262963700826,0.6350126777630132,23,533731424.30078125
Gram,8.0,0.6773380161379675,0.6295175392986133,0.7251584929773217,9,1124160903.1846583
Gram,9.0,0.6638257277864058,0.6132145026615029,0.7144369529113087,9,2367740924.950251
Gram,11.0,0.5978371471987717,0.5555565090116189,0.6401177853859245,14,10503779302.537245
Gram,12.0,0.6032624935461752,0.5676634695552575,0.638861517537093,14,22123370463.07825
Gram,13.0,0.6029016497538546,0.564315435764702,0.6414878637430073,15,46596896845.34551
Gram,14.0,0.6136009402701263,0.5837523655794926,0.6434495149607601,15,98143761559.27098
Gram,15.0,0.7142154651859497,0.6800687920574344,0.748362138314465,30,206713291766.44907
Phon,0.0,0.49079940919106224,0.4606934880712164,0.520905330310908,14,2902570.9709944464
Phon,1.0,0.4916497530105462,0.47046746995128813,0.5128320360698043,23,6113480.780310711
Phon,2.0,0.44929669988994075,0.41210699775466897,0.48648640202521254,18,12876393.93651883
Phon,3.0,0.47673645901502404,0.44480321622149716,0.508669701808551,32,27120641.540643267
Phon,4.0,0.43479106509091137,0.35869436726885295,0.5108877629129698,9,57122296.91031942
Phon,5.0,0.4305834614151474,0.3753912894885569,0.48577563334173796,9,120312670.31131203
Phon,6.0,0.46395605845369864,0.41236224638729285,0.5155498705201045,9,253406102.70213875
Phon,7.0,0.45503240517870186,0.42347953748399525,0.48658527287340847,23,533731424.30078125
Phon,8.0,0.4297185599514892,0.3904823661006618,0.46895475380231666,9,1124160903.1846583
Phon,9.0,0.4448020680422895,0.38893485148959095,0.500669284594988,9,2367740924.950251
Phon,11.0,0.4651916822702071,0.4279397471567266,0.5024436173836876,14,10503779302.537245
Phon,12.0,0.45761240187300584,0.4329914607618896,0.48223334298412207,14,22123370463.07825
Phon,13.0,0.4764989604336242,0.45164556959502683,0.5013523512722216,15,46596896845.34551
Phon,14.0,0.46059023191519377,0.44490033078969926,0.4762801330406883,15,98143761559.27098
Phon,15.0,0.4572992452299408,0.4343448223594223,0.48025366810045933,30,206713291766.44907
Plaus,0.0,0.45791724554611957,0.42228328729495146,0.4935512037972877,14,2902570.9709944464
Plaus,1.0,0.46948261737248265,0.44128597901040056,0.49767925573456473,23,6113480.780310711
Plaus,2.0,0.5005227961744605,0.44572098467000537,0.5553246076789156,18,12876393.93651883
Plaus,3.0,0.4582734240903896,0.4324237189321093,0.48412312924866996,32,27120641.540643267
Plaus,4.0,0.4565508877173942,0.37650756110776146,0.536594214327027,9,57122296.91031942
Plaus,5.0,0.436022483811226,0.3979068351298116,0.47413813249264036,9,120312670.31131203
Plaus,6.0,0.4735984185459439,0.4351525340469883,0.5120443030448996,9,253406102.70213875
Plaus,7.0,0.4531312650997527,0.4264488240552101,0.4798137061442953,23,533731424.30078125
Plaus,8.0,0.5452602492109931,0.5084964203669716,0.5820240780550147,9,1124160903.1846583
Plaus,9.0,0.5535355870706797,0.5007037125523175,0.606367461589042,9,2367740924.950251
Plaus,11.0,0.5650941173004602,0.5384161831431129,0.5917720514578075,14,10503779302.537245
Plaus,12.0,0.5693190265713152,0.5375726543484232,0.6010653987942072,14,22123370463.07825
Plaus,13.0,0.593328124411627,0.5628916498363372,0.6237645989869167,15,46596896845.34551
Plaus,14.0,0.6050319355794262,0.5857590167814474,0.6243048543774051,15,98143761559.27098
Plaus,15.0,0.622753600873992,0.58874293468114,0.656764267066844,30,206713291766.44907
Sem,0.0,0.4753016743350606,0.455309768294684,0.4952935803754372,14,2902570.9709944464
Sem,1.0,0.479687925638531,0.4616459405531871,0.49772991072387496,23,6113480.780310711
Sem,2.0,0.41858159707260995,0.37676713531948663,0.46039605882573326,18,12876393.93651883
Sem,3.0,0.47053398213594144,0.4269202073632069,0.514147756908676,32,27120641.540643267
Sem,4.0,0.4622218095979571,0.3362762462702499,0.5881673729256643,9,57122296.91031942
Sem,5.0,0.4917649405834654,0.4414038837863954,0.5421259973805355,9,120312670.31131203
Sem,6.0,0.49958101249444553,0.46116102805415815,0.5380009969347329,9,253406102.70213875
Sem,7.0,0.5120909537045369,0.48335435098321367,0.5408275564258602,23,533731424.30078125
Sem,8.0,0.5832659968126971,0.524088849579592,0.6424431440458022,9,1124160903.1846583
Sem,9.0,0.6776789355879935,0.6490136100642656,0.7063442611117214,9,2367740924.950251
Sem,11.0,0.5746485130094978,0.546719359480018,0.6025776665389776,14,10503779302.537245
Sem,12.0,0.5566543836753363,0.5216044319700426,0.5917043353806299,14,22123370463.07825
Sem,13.0,0.5863278298375459,0.5483770569578647,0.6242786027172272,15,46596896845.34551
Sem,14.0,0.5989020728365981,0.5572715078749805,0.6405326377982158,15,98143761559.27098
Sem,15.0,0.6158679474259087,0.5845464735787897,0.6471894212730276,30,206713291766.44907
