task,session,step,F,p,n_arch
Gram,ses-5,10,6.536285515027363,0.009090086640183742,3
Gram,ses-5,20,22.64127956527211,2.9460956090961317e-05,3
Gram,ses-5,30,6.23230044590202,0.010712349914181647,3
Gram,ses-5,40,0.15455908733962498,0.8581399620690348,3
Gram,ses-5,50,4.785682226855347,0.02468680523543595,3
Gram,ses-5,60,11.507660948225372,0.0009353936149620445,3
Gram,ses-5,80,7.2309082611914315,0.006327585741548061,3
Gram,ses-5,100,37.28688461238178,1.5112213187015058e-06,3
Gram,ses-5,160,84.28699538211245,6.951856893835032e-09,3
Gram,ses-5,300,28.668588959593336,7.507109148948295e-06,3
Gram,ses-5,450,13.593617139199344,0.0004283773821293258,3
Gram,ses-5,650,7.741257081160106,0.004901212822669353,3
Gram,ses-5,950,14.59991287343828,0.0003020162174200394,3
Gram,ses-5,1280,19.428542431610843,6.860616190366505e-05,3
Gram,ses-5,1700,34.058866804014336,2.6483888312238388e-06,3
Gram,ses-5,2560,49.05507940482105,2.6267718398321014e-07,3
Gram,ses-5,4000,37.991977662675026,1.3441518874884975e-06,3
Gram,ses-7,10,15.145678556638018,0.00025151821204041507,3
Gram,ses-7,20,42.161523678151376,6.963204892631071e-07,3
Gram,ses-7,30,12.235849855144128,0.0007055710151347412,3
Gram,ses-7,40,0.12391365578014135,0.8843510735047617,3
Gram,ses-7,50,2.656347460430105,0.1029029556700386,3
Gram,ses-7,60,7.315093664840967,0.006062844978256117,3
Gram,ses-7,80,6.990856935382594,0.007157378089810346,3
Gram,ses-7,100,55.34999669583195,1.1903372692976136e-07,3
Gram,ses-7,160,61.14012629187498,6.146443886918631e-08,3
Gram,ses-7,300,22.199174790010105,3.291369253692753e-05,3
Gram,ses-7,450,8.141110494880545,0.0040360133582390935,3
Gram,ses-7,650,3.821519461863308,0.04556948227854559,3
Gram,ses-7,950,11.991075180062026,0.0007748024774620018,3
Gram,ses-7,1280,15.716543776830735,0.0002086785071290176,3
Gram,ses-7,1700,19.46398035602995,6.793279132412374e-05,3
Gram,ses-7,2560,36.30207820990841,1.7854557990517816e-06,3
Gram,ses-7,4000,24.813801421238416,1.748030826563527e-05,3
Gram,ses-9,10,8.311852939897694,0.003720392214185221,3
Gram,ses-9,20,17.908177627199727,0.0001060860059241558,3
Gram,ses-9,30,5.298672283633564,0.0181644638605516,3
Gram,ses-9,40,0.5422616565497553,0.5924108227502147,3
Gram,ses-9,50,0.5192975873793063,0.605253069573953,3
Gram,ses-9,60,1.675586711183845,0.22039698409494418,3
Gram,ses-9,80,3.2181115851646283,0.06871830196269965,3
Gram,ses-9,100,12.769386412536145,0.0005776369414727682,3
Gram,ses-9,160,39.72114515318613,1.0160980404192032e-06,3
Gram,ses-9,300,12.437533620714687,0.0006537681060426556,3
Gram,ses-9,450,8.911831527612318,0.0028137246758624993,3
Gram,ses-9,650,3.726115865928728,0.04855546003217341,3
Gram,ses-9,950,13.813085072757595,0.00039638032274325914,3
Gram,ses-9,1280,12.816463244763922,0.0005676735696434618,3
Gram,ses-9,1700,14.538093271722904,0.00030842839186042434,3
Gram,ses-9,2560,19.96994964115944,5.909156620775402e-05,3
Gram,ses-9,4000,21.29817703259155,4.146885048121494e-05,3
Phon,ses-5,10,0.9666712640670402,0.4028229842354726,3
Phon,ses-5,20,0.5807030331544051,0.5715982300322905,3
Phon,ses-5,30,1.9748009588813822,0.17325419559527963,3
Phon,ses-5,40,2.879987613943331,0.08739432065484683,3
Phon,ses-5,50,1.198309171648106,0.32900172466798006,3
Phon,ses-5,60,3.5858970605750917,0.05335537339685346,3
Phon,ses-5,80,3.0382181938463364,0.0780199337947742,3
Phon,ses-5,100,1.1155811114285938,0.3534476996867205,3
Phon,ses-5,160,5.329533540043101,0.017839306901655794,3
Phon,ses-5,300,2.749811375845341,0.0960705829245959,3
Phon,ses-5,450,8.378177594351884,0.003605409194393889,3
Phon,ses-5,650,2.2159407136988323,0.14349046888516898,3
Phon,ses-5,950,1.0596844295767676,0.37113022239152926,3
Phon,ses-5,1280,3.828353530644902,0.045363705423562724,3
Phon,ses-5,1700,3.6722748597609813,0.050338165936597436,3
Phon,ses-5,2560,2.8127120417498332,0.09176198315467415,3
Phon,ses-5,4000,3.1918293497599914,0.06999537378516234,3
Phon,ses-7,10,0.7879231279712643,0.47273376023131036,3
Phon,ses-7,20,0.044734705889885026,0.9563782156479896,3
Phon,ses-7,30,4.6026085855284995,0.027629120882682223,3
Phon,ses-7,40,2.395973371784025,0.12503183075740304,3
Phon,ses-7,50,1.4555030448383637,0.2644140823123185,3
Phon,ses-7,60,4.8135135517800265,0.02427138338178167,3
Phon,ses-7,80,4.711527131207025,0.02583358241470108,3
Phon,ses-7,100,2.933999238937765,0.08405788726462704,3
Phon,ses-7,160,4.221899593929697,0.03511353048116855,3
Phon,ses-7,300,1.8196494941724755,0.19609324434000214,3
Phon,ses-7,450,4.962899596683093,0.02217258116320675,3
Phon,ses-7,650,3.1596604733760376,0.07159524601169125,3
Phon,ses-7,950,2.256359004145252,0.13909168893266638,3
Phon,ses-7,1280,2.6439905394840792,0.10384682168641649,3
Phon,ses-7,1700,2.4332522247733364,0.12155518858154404,3
Phon,ses-7,2560,3.8117876952293024,0.04586433851760468,3
Phon,ses-7,4000,2.425384310210017,0.12227973484973556,3
Phon,ses-9,10,0.9806439160601068,0.39787189432197406,3
Phon,ses-9,20,0.25863345914020885,0.7754793060373282,3
Phon,ses-9,30,2.992364768888149,0.08061374953080873,3
Phon,ses-9,40,2.371438717169125,0.12738141606699419,3
Phon,ses-9,50,2.340968532234431,0.13036939562910696,3
Phon,ses-9,60,5.118910107462647,0.020197407409524554,3
Phon,ses-9,80,4.808748536844651,0.02434194241374655,3
Phon,ses-9,100,0.8343376332477651,0.45334235748758,3
Phon,ses-9,160,3.1242811875883194,0.0734028296620312,3
Phon,ses-9,300,2.1386498259100937,0.152348420620893,3
Phon,ses-9,450,6.1642450013118575,0.011119036931908093,3
Phon,ses-9,650,1.3902127369229698,0.27933047788931314,3
Phon,ses-9,950,1.5336229823764373,0.24773921965095141,3
Phon,ses-9,1280,2.8735595982779736,0.08780129620769433,3
Phon,ses-9,1700,3.0555777697984827,0.07706273206286113,3
Phon,ses-9,2560,3.1809012858590635,0.07053427647502675,3
Phon,ses-9,4000,3.358582895847902,0.062324792569793855,3
Plaus,ses-5,10,0.9962218660136603,0.39243310734913533,3
Plaus,ses-5,20,1.9051404801486054,0.18311327265316954,3
Plaus,ses-5,30,0.26337121510279743,0.7719369472269391,3
Plaus,ses-5,40,0.05879219399883533,0.9431188631584939,3
Plaus,ses-5,50,0.4725461630459124,0.6323851396837638,3
Plaus,ses-5,60,0.5526492550966382,0.5867033954540626,3
Plaus,ses-5,80,1.0057673120330244,0.3891421214662722,3
Plaus,ses-5,100,11.804341523271546,0.0008328121129032543,3
Plaus,ses-5,160,16.550831832979778,0.00016013405929418605,3
Plaus,ses-5,300,0.27683499167523506,0.7619699490560691,3
Plaus,ses-5,450,1.3747785392698875,0.28299453035411504,3
Plaus,ses-5,650,6.389566528901657,0.00983545109047619,3
Plaus,ses-5,950,1.078074216683988,0.36520438207907685,3
Plaus,ses-5,1280,14.185134290478443,0.00034813172791946164,3
Plaus,ses-5,1700,3.6740571544263467,0.05027797901287652,3
Plaus,ses-5,2560,5.459279127642266,0.01654257621676613,3
Plaus,ses-5,4000,4.124211477329439,0.037388083795420406,3
Plaus,ses-7,10,0.39015320034694306,0.6836262125169352,3
Plaus,ses-7,20,0.06549361861548969,0.9368713447987045,3
Plaus,ses-7,30,0.29946782552884027,0.7455421367068978,3
Plaus,ses-7,40,0.4713899569266202,0.6330733938642972,3
Plaus,ses-7,50,1.2520286175018853,0.31415502265814726,3
Plaus,ses-7,60,2.3132403789721505,0.1331576728656561,3
Plaus,ses-7,80,4.320000691056221,0.03298589034485821,3
Plaus,ses-7,100,12.92441248090529,0.0005455539196398166,3
Plaus,ses-7,160,10.217588838307831,0.001584618903848522,3
Plaus,ses-7,300,0.3940150779456919,0.6811218909910428,3
Plaus,ses-7,450,4.397588365779389,0.03140634754932588,3
Plaus,ses-7,650,3.865504219138697,0.044263338716200834,3
Plaus,ses-7,950,0.8658126543270794,0.4407054947535231,3
Plaus,ses-7,1280,5.078695509625623,0.02068675841880165,3
Plaus,ses-7,1700,0.2318366136878501,0.7958651074692066,3
Plaus,ses-7,2560,0.83390293000736,0.45351973788581035,3
Plaus,ses-7,4000,0.28235922197951113,0.7579227193936586,3
Plaus,ses-9,10,1.039727966595048,0.3776845349547716,3
Plaus,ses-9,20,0.6868972599647709,0.5182799677001797,3
Plaus,ses-9,30,0.8293986554358384,0.45536234193580516,3
Plaus,ses-9,40,0.2936341469705775,0.7497377224778146,3
Plaus,ses-9,50,0.28551431158487045,0.7556221325439144,3
Plaus,ses-9,60,0.7767525123294347,0.477539945535623,3
Plaus,ses-9,80,3.13395131670047,0.07290368275277695,3
Plaus,ses-9,100,14.077719979208702,0.0003613414885145673,3
Plaus,ses-9,160,14.426176227033665,0.0003204333593906076,3
Plaus,ses-9,300,2.5668973864113616,0.1099618814346644,3
Plaus,ses-9,450,0.29014431424062254,0.7522604020965786,3
Plaus,ses-9,650,13.144165225383587,0.0005034768754325422,3
Plaus,ses-9,950,0.5845730255764345,0.5695492884129106,3
Plaus,ses-9,1280,10.75449982865803,0.0012667325832578288,3
Plaus,ses-9,1700,2.170978751777304,0.14857004579076163,3
Plaus,ses-9,2560,2.5348255113887164,0.11262525469221302,3
Plaus,ses-9,4000,1.4730260522834635,0.26056585854391817,3
Sem,ses-5,10,1.4684308603196112,0.2615688315375541,3
Sem,ses-5,20,4.574545863690249,0.028114375075489216,3
Sem,ses-5,30,2.930793733139916,0.08425182071665176,3
Sem,ses-5,40,2.251376752407734,0.13962556862913694,3
Sem,ses-5,50,1.4880115422782991,0.25732519732008635,3
Sem,ses-5,60,0.5542522806283663,0.5858281816329307,3
Sem,ses-5,80,0.23255251517945388,0.7953126479730339,3
Sem,ses-5,100,0.4137542365142368,0.6684828698519538,3
Sem,ses-5,160,4.96053687154662,0.022204132779379267,3
Sem,ses-5,300,3.550587824849396,0.05464735189829056,3
Sem,ses-5,450,2.0673755806626315,0.1610694968171861,3
Sem,ses-5,650,8.463853013986789,0.0034627933312647665,3
Sem,ses-5,950,3.1054516267948733,0.07438591676462886,3
Sem,ses-5,1280,4.514357538341415,0.029188067021416995,3
Sem,ses-5,1700,9.310268373216157,0.0023504424573386373,3
Sem,ses-5,2560,1.8635202997817752,0.1893066205884439,3
Sem,ses-5,4000,3.3592971753476975,0.062294053145164056,3
Sem,ses-7,10,1.988272957182324,0.1714177147653284,3
Sem,ses-7,20,4.091515815288128,0.03818631359116142,3
Sem,ses-7,30,2.8839438606440773,0.08714490265606382,3
Sem,ses-7,40,3.3917306839330177,0.060916195150389534,3
Sem,ses-7,50,2.460341244776073,0.11909755403127505,3
Sem,ses-7,60,0.7669041324193356,0.4818232086107261,3
Sem,ses-7,80,0.06128307249039825,0.9407912017715727,3
Sem,ses-7,100,0.7450976786367012,0.491463124772793,3
Sem,ses-7,160,5.524376466704775,0.015932444657386472,3
Sem,ses-7,300,4.267539622555374,0.034104913762372485,3
Sem,ses-7,450,6.4071952084710375,0.009742330204691714,3
Sem,ses-7,650,8.807517855836682,0.002951552448907171,3
Sem,ses-7,950,4.329560188465488,0.03278649476528355,3
Sem,ses-7,1280,4.2219966596673935,0.03511134981874739,3
Sem,ses-7,1700,12.909435664378096,0.0005485636207473042,3
Sem,ses-7,2560,0.41182246125862393,0.6697079831529297,3
Sem,ses-7,4000,0.9671531206536867,0.40265108435742986,3
Sem,ses-9,10,1.3748444857282658,0.28297875934283884,3
Sem,ses-9,20,2.9275340825785023,0.08444955011123277,3
Sem,ses-9,30,6.401399518937609,0.009772834374101492,3
Sem,ses-9,40,5.271828785086187,0.018452759274934057,3
Sem,ses-9,50,3.711447057668756,0.04903395758296948,3
Sem,ses-9,60,1.051115940218071,0.3739284540873318,3
Sem,ses-9,80,0.3544015549871589,0.7073123154526186,3
Sem,ses-9,100,0.5917058326782553,0.5657946423386883,3
Sem,ses-9,160,2.6713879269837517,0.10176720311948473,3
Sem,ses-9,300,3.7728873313395677,0.047064746892027484,3
Sem,ses-9,450,1.5063804798507705,0.25341498967524323,3
Sem,ses-9,650,6.0653144873612375,0.011741821565000218,3
Sem,ses-9,950,1.5569915129394074,0.24298517072270467,3
