family,step,tokens,task,session,rsa_intact,rsa_circuit_ablated,rsa_random_ablated
beetle-fineweb3-eng,0,,Gram,ses-5,-0.023148184931505555,-0.022926630239006283,-0.026733403865649083
beetle-fineweb3-eng,0,,Gram,ses-7,-0.044784862470018234,-0.043857278427684256,-0.04756991062390739
beetle-fineweb3-eng,0,,Gram,ses-9,-0.04151302199169069,-0.04197201096698,-0.03814813724188018
beetle-fineweb3-eng,1,,Gram,ses-5,-0.023148184931505555,-0.022926630239006283,-0.026733403865649083
beetle-fineweb3-eng,1,,Gram,ses-7,-0.044784862470018234,-0.043857278427684256,-0.04756991062390739
beetle-fineweb3-eng,1,,Gram,ses-9,-0.04151302199169069,-0.04197201096698,-0.03814813724188018
beetle-fineweb3-eng,2,,Gram,ses-5,-0.023148184931505555,-0.022926630239006283,-0.026733403865649083
beetle-fineweb3-eng,2,,Gram,ses-7,-0.044784862470018234,-0.043857278427684256,-0.04756991062390739
beetle-fineweb3-eng,2,,Gram,ses-9,-0.04151302199169069,-0.04197201096698,-0.03814813724188018
beetle-fineweb3-eng,4,,Gram,ses-5,-0.023167777982812814,-0.02299247708738018,-0.026754107060022455
beetle-fineweb3-eng,4,,Gram,ses-7,-0.04479473257240529,-0.04391682797328544,-0.047584180182149056
beetle-fineweb3-eng,4,,Gram,ses-9,-0.04152034504068824,-0.04200810468276902,-0.03814009573772094
beetle-fineweb3-eng,6,,Gram,ses-5,-0.023113564914406647,-0.02300456963992104,-0.02678538366379359
beetle-fineweb3-eng,6,,Gram,ses-7,-0.04472272908266082,-0.043932902325517637,-0.04759155949570745
beetle-fineweb3-eng,6,,Gram,ses-9,-0.041433968119666674,-0.04198769795935093,-0.038123657829864745
beetle-fineweb3-eng,8,,Gram,ses-5,-0.02318904382279475,-0.02302136893937965,-0.02680518878921484
beetle-fineweb3-eng,8,,Gram,ses-7,-0.04477938533142107,-0.04393882308853693,-0.047584909457418605
beetle-fineweb3-eng,8,,Gram,ses-9,-0.041437101622902026,-0.0419612601078134,-0.03813190708009485
beetle-fineweb3-eng,16,,Gram,ses-5,-0.02330001484897502,-0.022979343640463484,-0.02138623207602472
beetle-fineweb3-eng,16,,Gram,ses-7,-0.04477922952186794,-0.043828864824452064,-0.043414264259634856
beetle-fineweb3-eng,16,,Gram,ses-9,-0.04131672575897254,-0.041992573499951245,-0.03823623239602941
beetle-fineweb3-eng,32,,Gram,ses-5,-0.023908485778328856,-0.023433879059358904,-0.020705839889746135
beetle-fineweb3-eng,32,,Gram,ses-7,-0.04515563077790717,-0.04394205830078614,-0.043121792416219946
beetle-fineweb3-eng,32,,Gram,ses-9,-0.041173406938343315,-0.04133786608570334,-0.03573281000943941
beetle-fineweb3-eng,64,,Gram,ses-5,-0.032790437487311065,-0.03212996079155387,-0.03249497496608451
beetle-fineweb3-eng,64,,Gram,ses-7,-0.049721885087197715,-0.049001802581278474,-0.04878433572552754
beetle-fineweb3-eng,64,,Gram,ses-9,-0.03583023209656128,-0.035881554032148086,-0.03564392065937348
beetle-fineweb3-eng,128,,Gram,ses-5,-0.016181030921590626,-0.01611074350095226,-0.016403453386740017
beetle-fineweb3-eng,128,,Gram,ses-7,-0.03736183783989834,-0.03727062649468632,-0.03673146052017745
beetle-fineweb3-eng,128,,Gram,ses-9,-0.040383095440368146,-0.04152566420571068,-0.04186884340258612
beetle-fineweb3-eng,256,,Gram,ses-5,0.019287319421664586,0.022221401577152987,0.008822266912032811
beetle-fineweb3-eng,256,,Gram,ses-7,-0.008563426127858695,-0.006107255152279737,-0.017169077726628908
beetle-fineweb3-eng,256,,Gram,ses-9,-0.025982170269209858,-0.022228164144563547,-0.03218981546419662
beetle-fineweb3-eng,512,,Gram,ses-5,-0.016010118661904747,-0.016574889339646168,-0.015773770717943534
