dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,,Gram,ses-5,60,-0.016801326064810468,-0.014910050625024204,-0.011172324368518713
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,,Gram,ses-5,60,-0.008346216790674753,-0.026876055634575638,-0.00551430314295478
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,,Gram,ses-5,60,-0.006312832873517522,-0.02519979152898571,-0.004777189065928275
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,,Gram,ses-5,60,-0.002697692013106548,-0.018670647709903912,-0.001877277532392459
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,1146,,Gram,ses-5,60,-0.011881236916427021,-0.01792190377690912,-0.007517413841009476
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,1337,,Gram,ses-5,60,-0.0003717431996068449,-0.017436931096783397,-1.2136193642550773e-05
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-07,1528,,Gram,ses-5,60,-0.0061385339200724365,-0.020412520748072115,-0.004027300048225401
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-08,1719,,Gram,ses-5,60,-0.003818086049407177,-0.02117700853648717,-0.0023997726060559607
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-09,1908,,Gram,ses-5,60,-0.00442093485071857,-0.020571580695695812,-0.002742141016182656
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,,Gram,ses-7,60,-0.030482553925889222,-0.005721440692156596,-0.019568015381028574
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,,Gram,ses-7,60,-0.02073772458357882,-0.021369847952200493,-0.013174157572505774
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,,Gram,ses-7,60,-0.019112267388712665,-0.021103696692306564,-0.012978700980157323
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,,Gram,ses-7,60,-0.016392159358158995,-0.013064422152525401,-0.011246419024441656
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,1146,,Gram,ses-7,60,-0.02876801911108043,-0.012024498846033611,-0.01896887066330686
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,1337,,Gram,ses-7,60,-0.018064616937533914,-0.012855510235626016,-0.011839176271825187
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-07,1528,,Gram,ses-7,60,-0.022584827359850245,-0.016827948407447717,-0.015075068745149516
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-08,1719,,Gram,ses-7,60,-0.021098129392162428,-0.017183577110874707,-0.013713260069048555
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-09,1908,,Gram,ses-7,60,-0.021236713333593487,-0.01664432999194533,-0.013894664226652998
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,,Gram,ses-9,60,-0.04355126846531881,-0.009292647425604995,-0.028776192620555516
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,,Gram,ses-9,60,-0.03611957909282711,-0.02744998190362573,-0.02364705393899327
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,,Gram,ses-9,60,-0.05276916504706334,-0.0284011513143854,-0.035253087543474726
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,,Gram,ses-9,60,-0.042501728823308244,-0.018472821562776312,-0.02802758109692028
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,1146,,Gram,ses-9,60,-0.04503637154910852,-0.018548818346272058,-0.029909329858549466
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,1337,,Gram,ses-9,60,-0.04924087286437648,-0.017969285281068607,-0.0324221606895913
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-07,1528,,Gram,ses-9,60,-0.05011800490779534,-0.02137235085583049,-0.03330746407846369
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-08,1719,,Gram,ses-9,60,-0.05165904362116203,-0.022057494831427465,-0.034342234273249596
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-09,1908,,Gram,ses-9,60,-0.05123301918646953,-0.021323961489471743,-0.034002420851258174
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,,Phon,ses-5,72,-0.0037660276630056217,-0.005096216590924941,-0.002762388639293906
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,,Phon,ses-5,72,-0.05225306225252576,-0.0247533686724958,-0.03500699784705187
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,,Phon,ses-5,72,-0.021799935281881275,-0.023608054759577675,-0.014425671226751681
