dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Gram,ses-5,60,-0.014749558784404381,-0.03656689903721089,-0.01025636112202304
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Gram,ses-5,60,-0.010961863171934854,-0.028502969409283124,-0.00768604305793755
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Gram,ses-5,60,-0.018883225181576424,-0.036552514576358074,-0.013218869864873067
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Gram,ses-5,60,-0.016127757038546436,-0.03119679618042519,-0.010709871516034147
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Gram,ses-5,60,-0.016414020304073056,-0.03763361468781959,-0.011427823182046099
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Gram,ses-5,60,-0.018512156074689066,-0.03613024162937666,-0.012563515408175322
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Gram,ses-5,60,-0.014730712320539248,-0.03709211350432035,-0.010347063200825261
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Gram,ses-5,60,-0.0166141122306274,-0.0371799073592776,-0.011406105782896272
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Gram,ses-5,60,-0.016299223287754586,-0.03676154737131523,-0.011404828288828633
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Gram,ses-7,60,-0.03138123096807273,-0.0325998392648713,-0.02149575392909269
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Gram,ses-7,60,-0.032115221640631214,-0.02363083403939823,-0.02121470523421257
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Gram,ses-7,60,-0.029843410154782677,-0.03301523074288193,-0.020326846857204907
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Gram,ses-7,60,-0.027535885820941686,-0.02869643157225185,-0.018252196491362543
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Gram,ses-7,60,-0.03344330764724487,-0.03486400217766783,-0.022156218362060984
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Gram,ses-7,60,-0.030861045626766413,-0.033338738859637014,-0.02061683801055849
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Gram,ses-7,60,-0.027078461433248477,-0.03456756032220259,-0.01813722202527522
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Gram,ses-7,60,-0.028629948042761783,-0.035061981354004026,-0.01920392957175205
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Gram,ses-7,60,-0.027347254552629364,-0.03516281612418298,-0.018369725945585138
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Gram,ses-9,60,-0.04363035696168797,-0.04004925500993029,-0.029694710855186466
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Gram,ses-9,60,-0.05203131592404309,-0.02895347125445741,-0.0346641627782941
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Gram,ses-9,60,-0.05930745759000569,-0.03840798328361941,-0.03986228613950874
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Gram,ses-9,60,-0.05620668301689559,-0.033162588897136705,-0.037207653466959215
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Gram,ses-9,60,-0.06067868985870947,-0.039069993210755556,-0.040283859181828925
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Gram,ses-9,60,-0.05215473440230192,-0.03699076321267011,-0.03494265648503895
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Gram,ses-9,60,-0.05299701271429218,-0.037094959898323614,-0.03555713113157231
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Gram,ses-9,60,-0.05041176867208837,-0.03733493652378731,-0.033795466812300994
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Gram,ses-9,60,-0.05107585279180505,-0.03732751134185823,-0.03426941711139429
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Phon,ses-5,72,-0.012738744717067096,0.007199361169265152,-0.008339228674941582
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Phon,ses-5,72,-0.04448408107933688,-0.027693858798372273,-0.029797047122920167
