dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,,Gram,ses-5,60,-0.023148184931505555,-0.03134624767748134,-0.0156869884035476
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,,Gram,ses-5,60,-0.023148184931505555,-0.03134624767748134,-0.0156869884035476
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,2,,Gram,ses-5,60,-0.023148184931505555,-0.03134624767748134,-0.0156869884035476
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4,4,,Gram,ses-5,60,-0.023167777982812814,-0.03134914276259731,-0.015679323439141777
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-6,6,,Gram,ses-5,60,-0.023113564914406647,-0.03135019432258198,-0.01564483109931558
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8,8,,Gram,ses-5,60,-0.02318904382279475,-0.031352338269495544,-0.015707428308629794
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16,16,,Gram,ses-5,60,-0.02330001484897502,-0.03136133286763335,-0.01576236055353818
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32,32,,Gram,ses-5,60,-0.023908485778328856,-0.0314161560910812,-0.016034466789944843
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-64,64,,Gram,ses-5,60,-0.032790437487311065,-0.03006038794370185,-0.021438266696049032
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-128,128,,Gram,ses-5,60,-0.016181030921590626,-0.013687787893690111,-0.010819736005850922
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-256,256,,Gram,ses-5,60,0.019287319421664586,0.020573451993676536,0.013148607691153034
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-512,512,,Gram,ses-5,60,-0.016010118661904747,-0.017596575901712527,-0.010379000552516185
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1024,1024,,Gram,ses-5,60,-0.02250852612326502,-0.03365397616180316,-0.015202818151913206
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2048,2048,,Gram,ses-5,60,-0.017872646583936953,-0.03813688933922327,-0.012334843970068315
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4096,4096,,Gram,ses-5,60,-0.014081148785566515,-0.025275991534886313,-0.009655938910233685
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8192,8192,,Gram,ses-5,60,-0.003298565062723273,-0.021032055080173168,-0.0020701791366056345
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16384,16384,,Gram,ses-5,60,0.0017324691435815925,-0.013610048827649102,0.0010520163646990065
