dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,rsa_lo,rsa_hi
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,0,,Gram,ses-5,60,-0.022769234458055235,-0.03565141903867367,-0.015385499803585289,-0.06835205531655819,0.027042951995749277
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,1,,Gram,ses-5,60,-0.022769234458055235,-0.03565141903867367,-0.015385499803585289,-0.07143299026417473,0.023448740770549533
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,2,,Gram,ses-5,60,-0.022769234458055235,-0.03565141903867367,-0.015385499803585289,-0.07177396736101949,0.02292281510193126
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,4,,Gram,ses-5,60,-0.022769234458055235,-0.03565141903867367,-0.015385499803585289,-0.06634120127838512,0.025089435305357538
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-6,6,,Gram,ses-5,60,-0.022769234458055235,-0.03565141903867367,-0.015385499803585289,-0.0700546972343182,0.024169753314173262
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-8,8,,Gram,ses-5,60,-0.022769234458055235,-0.03565141903867367,-0.015385499803585289,-0.06874738514933632,0.02671901352777112
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-16,16,,Gram,ses-5,60,-0.022743876453281825,-0.03565362738473519,-0.015361227416300185,-0.06900330335196878,0.024592935652242312
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-32,32,,Gram,ses-5,60,-0.022737750108213255,-0.035664936669579594,-0.015408494696802751,-0.06809923925429791,0.02541577790315885
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-64,64,,Gram,ses-5,60,-0.02289505283623673,-0.03570424855555343,-0.015527301645092986,-0.07129431866713701,0.01885459773207006
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-256,256,,Gram,ses-5,60,-0.041016956834818964,-0.01366032408431558,-0.02712311529703334,-0.09050465941421243,0.0016721725409518371
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-500,500,,Gram,ses-5,60,-0.04256350947514952,-0.022339235293212807,-0.02849769891381067,-0.08967549611638068,0.0029213030424294663
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1000,1000,,Gram,ses-5,60,-0.03491141883365611,-0.0374406241295395,-0.023001919434836624,-0.08241913494371222,0.011744571677816697
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2000,2000,,Gram,ses-5,60,-0.014882669915281425,-0.011887142416256324,-0.009196041045884394,-0.05703762966905357,0.028013767025527256
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2500,2500,,Gram,ses-5,60,-0.007425912516906893,-0.010295489927685371,-0.0042827988617527854,-0.051666829391922416,0.03685001919448389
