dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,rsa_lo,rsa_hi
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@daa12d1eb44fa1ea4cc31aa35a8cb029917302e9,0,,Gram,ses-5,60,-0.015939290235873538,-0.03497210913862205,-0.01059234206181155,-0.05760758098211151,0.029209930544143177
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@70ace66cdec9f20ba70c65109b42b9c263e0139b,1000,,Gram,ses-5,60,-0.00995942995149005,-0.01788732184085197,-0.006205427433546355,-0.05900081858948495,0.03370784218627036
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@b7e416710019991ae8f34506fbea7a6ac31a8252,2000,,Gram,ses-5,60,-0.026231236167946058,-0.03764262128853993,-0.018259861455768363,-0.0716521403489785,0.015895528216923905
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@d43df3f024539a5db7dfcab339e807d4842bcffd,3000,,Gram,ses-5,60,-0.0001922549224335953,-0.026598637735326187,-7.090092075384925e-05,-0.047457756615473204,0.04807723113990196
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@23e4297bb64e81b073da327cba679d797ca4fe1d,4000,,Gram,ses-5,60,-0.001984066947556306,-0.027669658273966346,-0.0013190126248351234,-0.0485126641376105,0.04481149939579149
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@cab5aa27e02bdec8e8bf68239ae1e6758956e134,5000,,Gram,ses-5,60,0.0031539673053453537,-0.024511555467241056,0.0017380306790200342,-0.043157113212648555,0.050096406278421476
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@e556a1a2b5a081ce269a811dfdfa329e230c674f,7000,,Gram,ses-5,60,-0.0036300931674584113,-0.022335181790829363,-0.0020356867967794377,-0.04928243292913949,0.04241963256926403
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@1eb202826693ab699be3043f3579cbde8211a5ef,8000,,Gram,ses-5,60,0.005819589600774864,-0.013974539829094502,0.004057959905848687,-0.04013593597044811,0.04903296668253062
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@94cc0caf8c3cb477f0dc32aa92a7b8e182f710bf,10000,,Gram,ses-5,60,-0.0019588625883144644,-0.015914345357884947,-0.0015847313909036036,-0.04814708348191262,0.04692542092618421
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@10d61c2f23ed2b432c011ff4735614817452abfc,13000,,Gram,ses-5,60,-0.0035450774160052474,-0.022479565384685353,-0.0028021832373615915,-0.052542144162310775,0.04282835972742251
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@609cb555fe8ab89fe8deccc19ae52176c053de3c,16000,,Gram,ses-5,60,0.013973839283885013,-0.012022158254462042,0.009038909275565053,-0.029529427907973037,0.06323611119355776
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@2e9b09372c42b65faa9486c0d7b8191ff5b5c4de,20000,,Gram,ses-5,60,0.0018126180105207264,-0.0034371972450276452,0.0013803323400816958,-0.04538961246338395,0.04746657255652188
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@020ad4d5ea0fe4c387769324ee38ad1d15bb3f85,24000,,Gram,ses-5,60,0.009913766932312398,-0.006857566857561349,0.006978311344466695,-0.03893504159890089,0.057688850215777604
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@dab022094801d1fd4c0c4deb04d7c0815ea0d9b4,30000,,Gram,ses-5,60,0.011251160395704545,-0.011622879910951452,0.006982143826669605,-0.03378171871352745,0.05464972762968657
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@22fe7c47349efbd4d073c95fe64e3b50251cb0fb,37000,,Gram,ses-5,60,0.01388406701301796,-0.015009043731077488,0.008618613727312504,-0.03298609464384326,0.05929693078903611
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@5a81c54569b9cadfac8813c3db918fae371226c7,45000,,Gram,ses-5,60,-0.008488271822706301,-0.019072259069157185,-0.005590952787012995,-0.05351426104862923,0.035474102455151015
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@ea63999d87b948bca4d4e9938706f51ccc88c365,55000,,Gram,ses-5,60,-0.010731373234367363,-0.007925155295092572,-0.00676369234110369,-0.05857951267455423,0.03526396252012526
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@6dc96c3465c47b8b192056175e156d703a132e5e,68000,,Gram,ses-5,60,-0.009238098805124129,0.008760716965361608,-0.0054976957200755005,-0.05652845912285999,0.03448281091361093
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@46310457a1f616890732dc9d54ca3b6f35263f47,83000,,Gram,ses-5,60,-0.005363206107457489,-0.007105712616277304,-0.0034422077652476904,-0.05193722810449973,0.038303316857785916
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@1ca25b1c86203affda1776487d77204c79b5c4f7,102000,,Gram,ses-5,60,0.0018741476358597223,-0.0103320738599063,0.001210425629085985,-0.04254340865001994,0.04444869668080916
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@dc35be996509151e2b2a2066a545a54a6e4900cb,125000,,Gram,ses-5,60,-0.0011991611754664378,-0.004441109656054151,-0.0007403078121955971,-0.040971536581953794,0.046915577266918376
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@daa12d1eb44fa1ea4cc31aa35a8cb029917302e9,0,,Gram,ses-7,60,-0.019365150621500776,-0.03304646175051468,-0.012641442546301175,-0.06399872395766573,0.023458516997840097
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@70ace66cdec9f20ba70c65109b42b9c263e0139b,1000,,Gram,ses-7,60,-0.020152250711464023,-0.009244032725067557,-0.013009360837780608,-0.06651804153502443,0.02423706506629952
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@b7e416710019991ae8f34506fbea7a6ac31a8252,2000,,Gram,ses-7,60,-0.02624370526024034,-0.0390582709315328,-0.018257306467633093,-0.07083623462703686,0.020948501229967068
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@d43df3f024539a5db7dfcab339e807d4842bcffd,3000,,Gram,ses-7,60,-4.6276519293136855e-05,-0.022556973940122946,-0.0002216452207350062,-0.047082228946926236,0.04839517664663077
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@23e4297bb64e81b073da327cba679d797ca4fe1d,4000,,Gram,ses-7,60,-0.0062151597598933675,-0.024201995370215355,-0.004060514893983961,-0.05237967619628187,0.04125775733765121
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@cab5aa27e02bdec8e8bf68239ae1e6758956e134,5000,,Gram,ses-7,60,-0.0008545710365264607,-0.01741588338516544,-0.001059681329104828,-0.04720063069984516,0.04688851532964084
