dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,pico-decoder-medium,pico-lm/pico-decoder-medium@a6f849d1da39698d655fd3552435d28fba898dc9,0,,Gram,ses-5,60,-0.034445626174546384,-0.038125045657384435,-0.023026191822121726
ds003604,pico-decoder-medium,pico-lm/pico-decoder-medium@b09eab97230964af5bf3964d902db96684add7f0,1000,,Gram,ses-5,60,-0.019635696598354475,-0.02598589496086224,-0.012865004008137637
ds003604,pico-decoder-medium,pico-lm/pico-decoder-medium@e8ea2825c02325ec936fec3fbf2cebf7dcd7e5fd,2000,,Gram,ses-5,60,-0.013064909107496319,-0.03060333394644011,-0.00900569442980649
ds003604,pico-decoder-medium,pico-lm/pico-decoder-medium@7d53111bd8fb071fbb1f180e4435cfea1b3e3149,3000,,Gram,ses-5,60,-0.0007827514886155614,-0.02976175611079607,-0.0009843091791142495
ds003604,pico-decoder-medium,pico-lm/pico-decoder-medium@94db452b6d8323e895d44d7e57364a44ce9d64b9,4000,,Gram,ses-5,60,0.00864392123824925,-0.01842595271476556,0.005714869711573777
ds003604,pico-decoder-medium,pico-lm/pico-decoder-medium@2c8ff3af5ea6a6720939283915670af5878a5fad,5000,,Gram,ses-5,60,0.004449482623288191,0.006166666604742955,0.003212258833073044
ds003604,pico-decoder-medium,pico-lm/pico-decoder-medium@a5e9eebb23febee9e0645d0ffebf5e1df3628c98,7000,,Gram,ses-5,60,-0.004886989356438434,-0.033546499554292925,-0.0037002615669103484
ds003604,pico-decoder-medium,pico-lm/pico-decoder-medium@5fab2f64dc273534e825a1815e1163dfc3f7fbe0,8000,,Gram,ses-5,60,0.0066046598385041564,-0.025903114910150037,0.004768246607454817
ds003604,pico-decoder-medium,pico-lm/pico-decoder-medium@63c66cd3b6df6ff5e2886a68acdafad325f8831a,10000,,Gram,ses-5,60,0.021226944940220288,-0.03244532020606101,0.01405179599697234
ds003604,pico-decoder-medium,pico-lm/pico-decoder-medium@cd8069f46d2fe40350c306d28a0c0d88cd5c1012,13000,,Gram,ses-5,60,0.011083541776850305,-0.0047192840955908736,0.007678378093531729
