dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@a8294defc7001e32644ce53dbcb87ef35587ff22,0,,Gram,ses-5,60,-0.013867241745300494,-0.030564198599372823,-0.009572901795837287
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@5e3d06988f3cc3adbf36b55cd8b1ddb3ae9f9bde,1000,,Gram,ses-5,60,-0.026340967209765934,-0.04268913176893173,-0.0178216809905689
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@9f1ca389bbb1cc08b42a32bfe58fb818b24b3490,2000,,Gram,ses-5,60,-0.0015309770950705695,-0.0232404727753975,-0.0007479727766014187
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@f2269f20ce160cf71bea0a02ccf685e126dd2dc1,3000,,Gram,ses-5,60,0.0006577035021134728,-0.01861005237283278,0.0002561375605612031
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@10da1c98e1cd32fc61ab4ced31075c08cf699861,4000,,Gram,ses-5,60,0.009741231656447986,-0.017179363252289342,0.006399606531827167
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@be2865b50166a683e659f4a1f99e058c77288911,5000,,Gram,ses-5,60,0.014756139574002942,-0.012160516602239949,0.010046852094930584
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@c5bddf28e9cfbede4fe480513c4a3487279f7d47,7000,,Gram,ses-5,60,0.0034574540185585735,-0.01718825338293776,0.0026680463602597147
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@9fe9969ca88ccf3b71599f85000ce082bf854421,8000,,Gram,ses-5,60,0.005276855154694785,-0.019057199804786165,0.003446040247450601
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@8ce4e4fa15c0cec038fcb9f29d30cc50bac60a3d,10000,,Gram,ses-5,60,0.02161992476551785,0.004996390883821861,0.014717370406211175
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@c2395fd6ba7da947893c62b8169b47a83345153b,13000,,Gram,ses-5,60,0.00996253748646655,-0.008518892381220163,0.007183987889356239
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@cbb63c23390c0d43e0d6dfaa0c69aed19778fa74,16000,,Gram,ses-5,60,0.031150078839904397,0.0050672292426445515,0.020780357251216016
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@082423f29dc36ca1b544cb85c655531783bb8985,20000,,Gram,ses-5,60,0.02172262490125232,-0.0027697934508229376,0.015220703068860123
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@bbc3997ae0773f6e0f145401283a22dced84175c,24000,,Gram,ses-5,60,0.023383675922924504,0.007316568818328602,0.015892664948437146
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@4e76d0f5009af59c7519cc564d83ccb252becc09,30000,,Gram,ses-5,60,0.012552633265033388,0.006922839551627848,0.008722090746791096
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@ad19a8ed94822569698ab34f7cbdb71a73e75edb,37000,,Gram,ses-5,60,0.02206813042131699,0.006838419039034704,0.015045686381593865
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@9b211dca4e657296153efe83773900826fe138d5,45000,,Gram,ses-5,60,0.027773125341790307,0.005747994962754799,0.018461705518455
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@497f4bdf16cbdcb120415cd944d84b34d1fef37a,55000,,Gram,ses-5,60,0.02277206716229217,-0.020697279602380533,0.015013749029902943
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@e7396619711d862dc1bed1a5f5797fb2b5cc9768,68000,,Gram,ses-5,60,0.03058349687610773,-0.011541899493124449,0.020504418532606438
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@d63e823855aefabdb4d0fb89c6cb30f1917edff8,83000,,Gram,ses-5,60,0.041728086783497396,-0.008200681349617402,0.027422048908860384
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@a29b66f6847b3a1ec6358c6bdf5686f8db25e228,102000,,Gram,ses-5,60,0.03445660641999956,-0.011773355339454205,0.022480701855240762
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@ef21ca419b33425716396ead8c1e60e01f301271,125000,,Gram,ses-5,60,0.019858809386385137,-0.019120234889962874,0.013376001635192406
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@a8294defc7001e32644ce53dbcb87ef35587ff22,0,,Gram,ses-7,60,-0.028811942256914688,-0.026713593105256582,-0.018949708252292304
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@5e3d06988f3cc3adbf36b55cd8b1ddb3ae9f9bde,1000,,Gram,ses-7,60,-0.04134186519756725,-0.042518876584646315,-0.027895999207953676
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@9f1ca389bbb1cc08b42a32bfe58fb818b24b3490,2000,,Gram,ses-7,60,-0.010865945079805086,-0.014497025680933954,-0.007183987889356239
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@f2269f20ce160cf71bea0a02ccf685e126dd2dc1,3000,,Gram,ses-7,60,-0.002781690674421164,-0.010138975060949833,-0.0022605257526835364
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@10da1c98e1cd32fc61ab4ced31075c08cf699861,4000,,Gram,ses-7,60,0.0038090685715192443,-0.01098435590768323,0.0026514389373804344
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@be2865b50166a683e659f4a1f99e058c77288911,5000,,Gram,ses-7,60,0.010286127960077874,-0.00550673836409379,0.007095840798689291
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@c5bddf28e9cfbede4fe480513c4a3487279f7d47,7000,,Gram,ses-7,60,-0.0007511762498675823,-0.016598233698446305,-0.0005997834647555356
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@9fe9969ca88ccf3b71599f85000ce082bf854421,8000,,Gram,ses-7,60,0.006447952216412805,-0.01867318121471128,0.003729643930465998
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@8ce4e4fa15c0cec038fcb9f29d30cc50bac60a3d,10000,,Gram,ses-7,60,0.029053529297100204,0.008925932863087427,0.018810461398919877
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@c2395fd6ba7da947893c62b8169b47a83345153b,13000,,Gram,ses-7,60,0.01980678630780921,-0.008159627569478089,0.013671102764816537
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@cbb63c23390c0d43e0d6dfaa0c69aed19778fa74,16000,,Gram,ses-7,60,0.0275144728274929,0.009930467157624336,0.018015860088849714
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@082423f29dc36ca1b544cb85c655531783bb8985,20000,,Gram,ses-7,60,0.026301038847752437,-0.0021881092732903493,0.01769904156007576
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@bbc3997ae0773f6e0f145401283a22dced84175c,24000,,Gram,ses-7,60,0.02085103491707775,0.012902080104587847,0.013626390472449245
ds003604,pico-decoder-small,pico-lm/pico-decoder-small@4e76d0f5009af59c7519cc564d83ccb252becc09,30000,,Gram,ses-7,60,0.02062833112912408,0.008985415564521922,0.013913826637667553
