dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,pico-decoder-tiny,pico-lm/pico-decoder-tiny@103adb71c10fcc35cebf2b93843f0dd76be7f44e,0,,Gram,ses-5,60,-0.01868619318152401,-0.038219406428313694,-0.012500918198861115
ds003604,pico-decoder-tiny,pico-lm/pico-decoder-tiny@fa2c5d27a1fbae4ac24e49c80d0ff1a9cecfabd0,1000,,Gram,ses-5,60,-0.01976604643770644,-0.018523358895145406,-0.013250807216563989
ds003604,pico-decoder-tiny,pico-lm/pico-decoder-tiny@c0dda9ee77ced01962ae332bbf283bcf238765a8,2000,,Gram,ses-5,60,-0.009078311780336707,-0.03554463050266063,-0.0055807328344719
ds003604,pico-decoder-tiny,pico-lm/pico-decoder-tiny@88ef3234093953618e0d8f3c898c9811ec24ed35,3000,,Gram,ses-5,60,-0.0001966868386117778,-0.021442932373024918,8.303711439640003e-06
ds003604,pico-decoder-tiny,pico-lm/pico-decoder-tiny@84bc530a1fc367c8efc0b3957b86d1c509296091,4000,,Gram,ses-5,60,-0.011830886626525764,-0.027545758407268306,-0.007826567405377611
ds003604,pico-decoder-tiny,pico-lm/pico-decoder-tiny@d31ea8a1afbffb6e7b934a4645ce44652a0d146f,5000,,Gram,ses-5,60,-0.015095369431510616,-0.016610671888872386,-0.009783688316997378
ds003604,pico-decoder-tiny,pico-lm/pico-decoder-tiny@61eace927bb768764dca51562258d78a2fe54f76,7000,,Gram,ses-5,60,0.0052289480451476154,-0.007470862527861864,0.0037424188711423674
ds003604,pico-decoder-tiny,pico-lm/pico-decoder-tiny@5db2932311894754cd4e80f811378100794ae014,8000,,Gram,ses-5,60,0.0007122628139710596,-0.010872189535980861,0.0003966619080012647
ds003604,pico-decoder-tiny,pico-lm/pico-decoder-tiny@a5175df52f960d869efda7045c5982e933d3b705,10000,,Gram,ses-5,60,0.0024662109536593662,-0.003921782952929144,0.0012513054392503664
ds003604,pico-decoder-tiny,pico-lm/pico-decoder-tiny@46c9adae32a035be4680d5185fd1e87408bbc608,13000,,Gram,ses-5,60,-0.002576346667513088,-0.004623941246935052,-0.0016205012247974375
ds003604,pico-decoder-tiny,pico-lm/pico-decoder-tiny@50fc297ab0c87309ed3b0c670e2d57d37acab44a,16000,,Gram,ses-5,60,0.008738815748175754,-0.010932530282277645,0.005574345364133715
ds003604,pico-decoder-tiny,pico-lm/pico-decoder-tiny@fd11f6e99d18679b34412651c839856af185d241,20000,,Gram,ses-5,60,0.015338761265686663,-0.014547006635428914,0.009934432616978536
ds003604,pico-decoder-tiny,pico-lm/pico-decoder-tiny@e1dc0e8bf248742bffbb7184e2971541821cff1b,24000,,Gram,ses-5,60,0.025467169923588565,-0.016194500648340035,0.016471369761076673
ds003604,pico-decoder-tiny,pico-lm/pico-decoder-tiny@4e773530a79a36816566462c2b3d9ff7172b65f8,30000,,Gram,ses-5,60,0.032031192683014596,-0.016966664833240053,0.020597675599543935
ds003604,pico-decoder-tiny,pico-lm/pico-decoder-tiny@de9cd9bd9035dd4f914f6f69c10b9352e8b5c974,37000,,Gram,ses-5,60,-0.014175194999037041,-0.04488658415999767,-0.009560126855160916
