family,model_ref,step,phenomenon,selectivity_index,mean_overlap_with_others,gini,entropy,max_t,mean_topk_t,layer_com,n_active_layers,n_units
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,Gram,0.47873127460479736,0.0036429872495446266,0.4130812840363273,0.9691392536103139,3.50040864944458,2.618687391281128,0.4188320977152298,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,Gram,0.5483607649803162,0.0018214936247723133,0.4225306533392532,0.9675776269352696,4.1344122886657715,2.9061646461486816,0.4107866545056236,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,Gram,0.5682520866394043,0.007346355503225352,0.41011921880537167,0.9694458059982006,4.147712230682373,2.966949462890625,0.5362559709492903,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,Gram,0.5450044870376587,0.0018214936247723133,0.41325104062104706,0.9689687277648377,4.477391719818115,2.8056564331054688,0.5402483754660995,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,Gram,0.5079303979873657,0.0055248618784530384,0.40852735690271125,0.9697539528108045,3.8875784873962402,2.782045841217041,0.5837548885424259,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,Gram,0.5105786323547363,0.007326007326007327,0.41280554065629566,0.9691074238449056,3.8959689140319824,2.850018262863159,0.5881919953961602,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,Gram,0.46671295166015625,0.0018214936247723133,0.410767892423463,0.9694485340452431,3.705104112625122,2.779315710067749,0.6322602185952634,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,Gram,0.48800429701805115,0.0018214936247723133,0.411629812288833,0.9693300924028878,3.8349878787994385,2.8599491119384766,0.6254708677656479,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,Gram,0.4984895884990692,0.0018214936247723133,0.41219378265867224,0.9692141673623507,3.8889312744140625,2.8625736236572266,0.6161107093357479,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,Phon,0.5222170352935791,0.0036630036630036634,0.41615754376526337,0.9685883684335386,4.593389987945557,3.175494909286499,0.5020966882983142,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,Phon,0.5416948199272156,0.0,0.4112402378571459,0.9693306405666591,4.091420650482178,3.028564691543579,0.44912709944550583,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,Phon,0.543407678604126,0.0,0.4120125157496665,0.9691603103620926,4.202103137969971,2.955559015274048,0.48407551763367285,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,Phon,0.5486143827438354,0.0018214936247723133,0.4127719667514568,0.9690924539802551,4.608781814575195,3.0045905113220215,0.44323360410841184,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,Phon,0.5542756915092468,0.0,0.41134786906282284,0.9693679112180487,3.439181089401245,2.763021945953369,0.4670341585828375,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,Phon,0.4980088174343109,0.0036630036630036634,0.4089633055578633,0.9696213808107013,4.291783332824707,2.8183975219726562,0.5071222608429999,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,Phon,0.5330318808555603,0.005484497287775977,0.40929642653177684,0.9696097106833214,4.171854019165039,2.9061150550842285,0.49311032506567004,12,92
