family,model_ref,step,tokens,norm,gini,hoyer,per,condition_number,cka_to_prev
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,,22.902792385279206,0.06126140388224779,0.006235691496930042,0.300869330422295,21.86114295952769,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,,22.902792385279206,0.06126140388224779,0.006235691496930042,0.300869330422295,21.86114295952769,1.0
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,2,,22.902792385279206,0.06126140388224779,0.006235691496930042,0.300869330422295,21.86114295952769,1.0
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4,4,,22.902769536368687,0.061261195524391056,0.00623565854546355,0.3008686694198766,21.86135811049873,0.9999999868019254
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-6,6,,22.90275678826089,0.06126086525436069,0.006235590043092333,0.30086601995884854,21.86215057208246,0.9999999544808035
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8,8,,22.90272272557647,0.0612591583382082,0.006235232305750253,0.30086488531973626,21.86307002184794,0.9999999113085934
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16,16,,22.902690573407565,0.061248959637127724,0.006233102904967868,0.30085463850227523,21.87034171422139,0.9999960535304371
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32,32,,22.907807650875576,0.061228239030805896,0.006230764804878113,0.30075110263586863,21.89678464167648,0.9999190111641542
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-64,64,,23.39549903490973,0.06445495019557615,0.007044229747622652,0.2731178919604211,24.731270054881186,0.949356669120086
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-128,128,,30.282228507957488,0.11591070527504291,0.027779869768435186,0.17435887340489423,58.10135214193212,0.8241279264191899
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-256,256,,31.40932411256295,0.10153623227955902,0.02010965715779859,0.23259812270331495,37.66632889575622,0.7413337249077497
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-512,512,,28.967891529928,0.0906131350939579,0.015472116168114522,0.24053943635758773,30.79149787180924,0.7668076213429192
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1024,1024,,33.24820253551665,0.08643556609331327,0.014056233867358528,0.2133621913028045,39.85955800412189,0.8263825019338414
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2048,2048,,47.38779277258162,0.08740035235789885,0.01398068293056617,0.204945655877485,42.801630903334974,0.8024683717417253
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4096,4096,,72.87687662678073,0.09036217816307282,0.015486599779862236,0.20425307310180002,39.39902759357897,0.8323849732475456
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8192,8192,,105.52005611996898,0.10305566099515172,0.03413188108957207,0.22694740361828605,35.44231781275811,0.8283834711274795
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16384,16384,,157.08176513015428,0.13259987525195366,0.15152517521834247,0.17861561630392456,47.14417954273817,0.7906373691182227
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32768,32768,,214.16039931791053,0.16055391200586025,0.2985289889783859,0.11979579656775165,62.86397800451275,0.7999848619325736
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-65536,65536,,249.2513525767194,0.1793822578508164,0.39195593536063694,0.110067065497114,61.75941879812366,0.8955842096584679
