dataset,task,session,additive_rsa,perm_p,significant
ds003604,Gram,ses-5,0.0671,0.0,True
ds003604,Gram,ses-7,0.074,0.0,True
ds003604,Gram,ses-9,0.0277,0.0,True
ds003604,Phon,ses-5,0.0513,0.0,True
ds003604,Phon,ses-7,0.0461,0.0,True
ds003604,Phon,ses-9,0.0427,0.0,True
ds003604,Plaus,ses-5,-0.011,0.15,False
ds003604,Plaus,ses-7,-0.0049,0.645,False
ds003604,Plaus,ses-9,-0.0181,0.025,True
ds003604,Sem,ses-5,0.022,0.01,True
ds003604,Sem,ses-7,0.0428,0.0,True
ds003604,Sem,ses-9,0.0384,0.0,True
ds002236,Phon,ses-11+,0.3391,0.0,True
ds002236,Phon,ses-11,0.2918,0.0,True
ds002236,Phon,ses-9,0.2946,0.0,True
ds002236,Sem,ses-11+,0.0699,0.0,True
ds002236,Sem,ses-11,0.1578,0.0,True
ds002236,Sem,ses-9,0.1227,0.0,True
ds006239,Orth,ses-11+,0.3354,0.0,True
ds006239,Orth,ses-11,0.362,0.0,True
ds006239,Phon,ses-11+,0.3354,0.0,True
ds006239,Phon,ses-11,0.362,0.0,True
ds006239,Sem,ses-11+,0.0651,0.0,True
ds006239,Sem,ses-11,0.0924,0.0,True
ds006239,SemLocal,ses-11+,0.0578,0.0,True
ds006239,SemLocal,ses-11,0.085,0.0,True
