dataset,task,session,n_stim,ceiling_lower,cross_session_rsa,best_model_rsa,ratio_model_to_external
ds003604,Gram,ses-5,60,0.8398,0.8135,0.06670316577583,0.082
ds003604,Gram,ses-7,60,0.8474,0.8625,0.0608685805875763,0.0706
ds003604,Gram,ses-9,60,0.8563,0.8625,0.026377989290809,0.0306
ds003604,Phon,ses-5,72,0.8557,0.9494,0.0310993739530415,0.0328
ds003604,Phon,ses-7,72,0.846,0.9291,0.0327916271071336,0.0353
ds003604,Phon,ses-9,72,0.8734,0.9494,0.0324403768638406,0.0342
ds003604,Plaus,ses-5,60,0.8378,0.8657,0.0361640216038385,0.0418
ds003604,Plaus,ses-7,60,0.8461,0.9729,0.0383120878441709,0.0394
ds003604,Plaus,ses-9,60,0.8571,0.9729,0.0385481458092415,0.0396
ds003604,Sem,ses-5,72,0.8592,0.843,0.024744149408301,0.0294
ds003604,Sem,ses-7,72,0.8546,0.8779,0.0372728532564571,0.0425
ds003604,Sem,ses-9,72,0.8813,0.8779,0.0347961734437677,0.0396
ds002236,Phon,ses-11+,96,0.3027,0.5177,0.0989452963765182,0.1911
ds002236,Phon,ses-11,96,0.2347,0.4925,0.0886660644688629,0.18
ds002236,Phon,ses-9,96,0.2556,0.5177,0.1031737012458801,0.1993
ds002236,Sem,ses-11+,48,0.4363,0.6996,0.0662799059181983,0.0947
ds002236,Sem,ses-11,48,0.3902,0.6658,0.0815213942423097,0.1224
ds002236,Sem,ses-9,48,0.3444,0.6996,0.0605438018704424,0.0865
ds006239,Orth,ses-11+,96,0.5622,0.7535,0.0378258792905198,0.0502
ds006239,Orth,ses-11,96,0.5225,0.7535,0.0248408603760072,0.033
ds006239,Phon,ses-11+,96,0.5622,0.7535,0.0378258792905198,0.0502
ds006239,Phon,ses-11,96,0.5225,0.7535,0.0248408603760072,0.033
ds006239,Sem,ses-11+,48,0.3566,0.6382,0.0547845297016064,0.0858
ds006239,Sem,ses-11,48,0.2893,0.6382,0.049054161247882,0.0769
ds006239,SemLocal,ses-11+,48,0.3056,0.5887,0.0546865229476184,0.0929
ds006239,SemLocal,ses-11,48,0.2306,0.5887,0.0703796349556932,0.1196
