family,n_cells,mean_z,max_z,cells_beating_null
pythia-6.9b-full,26,1.4137722442468135,8.25678104794106,10
babylm-gpt2,26,1.005118669392512,5.722833387156928,9
polypythia-70m-seed1,26,0.7676396821572163,7.177256789045996,5
polypythia-160m-seed2,26,0.42556787949619407,6.92816352154041,3
polypythia-70m-seed3,26,0.22232633373869046,2.975823065248509,7
pythia-410m-full,26,0.20889612463910148,2.87410789778677,4
polypythia-160m-seed3,26,0.2028666077893379,4.137145712745565,3
polypythia-410m-seed1,26,0.11879223731645865,2.215629302913045,3
polypythia-160m-seed1,26,0.0756689288495844,2.4426640848927175,3
polypythia-410m-seed2,26,-0.014192037270581851,3.186322095778126,5
pythia-1b-full,26,-0.17840708293954885,2.0802978900111566,2
pythia-70m-full,26,-0.20650247428403487,2.3177051968864433,3
polypythia-410m-seed3,26,-0.4411929814220823,1.7151697211390262,0
polypythia-70m-seed2,26,-0.45496814591011303,2.0930909947340486,0
pythia-2.8b-full,26,-0.5881087709958618,8.041033059010767,4
babylm-gpt2-7,26,-0.675259522671361,3.4567407177323943,6
babylm-gpt2-5,26,-0.7774728272728795,2.9113658884097315,6
babylm-gpt2-3,26,-0.8016637456191307,2.8299408654483487,7
pythia-160m-full,26,-0.8047133356455636,1.0661114865059196,0
pythia-1.4b-full,26,-1.3523486286082564,1.4253813994986186,0
