model,dataset,task,session,layer,layer_frac,scheme,rsa_full,rsa_relational
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,0,0.0,pipeline_meanpool,-0.0045,-0.0138
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,0,0.0,pair_concat,0.002,-0.0254
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,0,0.0,pair_absdiff,-0.0399,-0.0321
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,0,0.0,pair_cos1d,-0.0124,0.0013
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,1,0.083,pipeline_meanpool,0.0005,-0.0058
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,1,0.083,pair_concat,-0.0021,-0.0174
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,1,0.083,pair_absdiff,-0.0065,-0.013
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,1,0.083,pair_cos1d,-0.0027,-0.0036
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,2,0.167,pipeline_meanpool,-0.0015,-0.0077
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,2,0.167,pair_concat,0.0007,-0.0134
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,2,0.167,pair_absdiff,-0.0008,-0.0059
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,2,0.167,pair_cos1d,0.0082,-0.001
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,3,0.25,pipeline_meanpool,0.0107,-0.0
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,3,0.25,pair_concat,0.0091,-0.0109
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,3,0.25,pair_absdiff,0.0069,0.007
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,3,0.25,pair_cos1d,0.0015,-0.0099
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,4,0.333,pipeline_meanpool,0.0064,-0.0019
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,4,0.333,pair_concat,0.0156,-0.0107
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,4,0.333,pair_absdiff,0.0192,0.0154
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,4,0.333,pair_cos1d,-0.0043,-0.0063
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,5,0.417,pipeline_meanpool,0.007,-0.0042
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,5,0.417,pair_concat,0.0204,-0.0096
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,5,0.417,pair_absdiff,0.0228,0.0144
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,5,0.417,pair_cos1d,0.0038,0.0041
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,6,0.5,pipeline_meanpool,0.0147,-0.0039
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,6,0.5,pair_concat,0.0267,-0.0068
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,6,0.5,pair_absdiff,-0.0047,-0.0021
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,6,0.5,pair_cos1d,-0.0062,-0.0024
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,7,0.583,pipeline_meanpool,0.0209,-0.0052
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,7,0.583,pair_concat,0.0272,-0.0054
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,7,0.583,pair_absdiff,-0.0031,0.0027
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,7,0.583,pair_cos1d,-0.021,0.0004
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,8,0.667,pipeline_meanpool,0.0338,-0.0038
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,8,0.667,pair_concat,0.0299,-0.0062
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,8,0.667,pair_absdiff,0.0097,0.0081
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,8,0.667,pair_cos1d,-0.0099,0.006
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,9,0.75,pipeline_meanpool,0.048,-0.0012
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,9,0.75,pair_concat,0.0495,0.0007
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,9,0.75,pair_absdiff,0.0379,0.0131
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,9,0.75,pair_cos1d,-0.0147,-0.0002
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,10,0.833,pipeline_meanpool,0.0514,0.0039
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,10,0.833,pair_concat,0.0588,0.0037
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,10,0.833,pair_absdiff,0.0427,0.0183
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,10,0.833,pair_cos1d,0.0008,0.0018
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,11,0.917,pipeline_meanpool,0.0556,0.0102
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,11,0.917,pair_concat,0.0465,-0.0029
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,11,0.917,pair_absdiff,0.0332,0.0145
sentence-transformers/all-mpnet-base-v2,ds002236,Phon,ses-11+,11,0.917,pair_cos1d,-0.0085,0.0
