dataset,family,arch,seed,task,session,n_checkpoints,rsa_mean,rsa_sd_over_ckpt,rsa_first,rsa_final,first_step,last_step,trend_rho,trend_p,ceiling_lower,ceiling_upper,frac_of_ceiling,init_mean,init_sd,init_n_seeds,z_vs_untrained,beats_untrained_2sd,below_untrained_2sd
ds002236,parc-mamba-seed0,mamba,0,Phon,ses-11,11,0.02248,0.02072,0.016661,0.042966,10,4000,0.5,0.117307,0.234711,0.411819,0.095778,-0.008114,0.021847,15,1.400418,False,False
ds002236,parc-mamba-seed0,mamba,0,Phon,ses-11+,11,0.01475,0.024627,0.012069,0.036467,10,4000,0.545455,0.082651,0.302747,0.40391,0.048722,-0.003292,0.016891,15,1.068208,False,False
ds002236,parc-mamba-seed0,mamba,0,Phon,ses-9,11,0.026566,0.02561,-0.003713,0.052671,10,4000,0.681818,0.020843,0.255574,0.441516,0.103947,-0.001371,0.015495,15,1.802998,False,False
ds002236,parc-mamba-seed0,mamba,0,Sem,ses-11,11,0.037543,0.022664,0.081521,0.004193,10,4000,-0.545455,0.082651,0.390186,0.542447,0.096219,0.011916,0.026467,15,0.968254,False,False
ds002236,parc-mamba-seed0,mamba,0,Sem,ses-11+,11,0.014351,0.020532,0.025989,-0.018923,10,4000,-0.318182,0.340298,0.436334,0.506525,0.03289,0.004633,0.0276,15,0.352095,False,False
ds002236,parc-mamba-seed0,mamba,0,Sem,ses-9,11,0.011926,0.022779,0.047763,-0.022039,10,4000,-0.618182,0.042646,0.344432,0.482067,0.034625,0.010272,0.013456,15,0.122897,False,False
ds002236,parc-mamba-seed1,mamba,1,Phon,ses-11,11,0.021415,0.012108,0.00131,0.033036,10,4000,0.572727,0.065543,0.234711,0.411819,0.091241,-0.008114,0.021847,15,1.351673,False,False
ds002236,parc-mamba-seed1,mamba,1,Phon,ses-11+,11,0.022025,0.016193,0.01034,0.032477,10,4000,0.372727,0.258926,0.302747,0.40391,0.07275,-0.003292,0.016891,15,1.498887,False,False
ds002236,parc-mamba-seed1,mamba,1,Phon,ses-9,11,0.024721,0.015398,-0.000919,0.0414,10,4000,0.690909,0.018565,0.255574,0.441516,0.096729,-0.001371,0.015495,15,1.683943,False,False
ds002236,parc-mamba-seed1,mamba,1,Sem,ses-11,11,0.033498,0.022793,0.048341,0.018039,10,4000,-0.618182,0.042646,0.390186,0.542447,0.085851,0.011916,0.026467,15,0.815415,False,False
ds002236,parc-mamba-seed1,mamba,1,Sem,ses-11+,11,0.016345,0.022625,0.002855,-0.009988,10,4000,-0.445455,0.169733,0.436334,0.506525,0.037461,0.004633,0.0276,15,0.424359,False,False
ds002236,parc-mamba-seed1,mamba,1,Sem,ses-9,11,0.023591,0.018803,0.026905,0.020733,10,4000,-0.472727,0.141999,0.344432,0.482067,0.068493,0.010272,0.013456,15,0.989837,False,False
ds002236,parc-mamba-seed2,mamba,2,Phon,ses-11,11,0.043855,0.013149,0.032928,0.065565,10,4000,0.772727,0.005299,0.234711,0.411819,0.186847,-0.008114,0.021847,15,2.378811,True,False
ds002236,parc-mamba-seed2,mamba,2,Phon,ses-11+,11,0.036695,0.023964,0.040971,0.067869,10,4000,0.590909,0.055576,0.302747,0.40391,0.121208,-0.003292,0.016891,15,2.367457,True,False
ds002236,parc-mamba-seed2,mamba,2,Phon,ses-9,11,0.041994,0.030422,0.040429,0.080772,10,4000,0.663636,0.025984,0.255574,0.441516,0.164311,-0.001371,0.015495,15,2.79867,True,False
ds002236,parc-mamba-seed2,mamba,2,Sem,ses-11,11,0.022522,0.02343,0.032869,0.004201,10,4000,-0.390909,0.23454,0.390186,0.542447,0.057721,0.011916,0.026467,15,0.40071,False,False
ds002236,parc-mamba-seed2,mamba,2,Sem,ses-11+,11,0.005527,0.022638,0.015693,-0.019744,10,4000,-0.8,0.00311,0.436334,0.506525,0.012666,0.004633,0.0276,15,0.032376,False,False
ds002236,parc-mamba-seed2,mamba,2,Sem,ses-9,11,0.007547,0.014629,0.008624,-0.00828,10,4000,-0.445455,0.169733,0.344432,0.482067,0.021912,0.010272,0.013456,15,-0.202496,False,False
ds002236,parc-pythia-seed0,pythia,0,Phon,ses-11,11,0.023525,0.020285,0.016123,0.058086,10,4000,0.418182,0.20057,0.234711,0.411819,0.10023,-0.008114,0.021847,15,1.448244,False,False
ds002236,parc-pythia-seed0,pythia,0,Phon,ses-11+,11,0.014449,0.026708,0.025941,0.057166,10,4000,0.009091,0.978837,0.302747,0.40391,0.047727,-0.003292,0.016891,15,1.050371,False,False
ds002236,parc-pythia-seed0,pythia,0,Phon,ses-9,11,0.017005,0.028303,0.017446,0.047946,10,4000,0.290909,0.385457,0.255574,0.441516,0.066536,-0.001371,0.015495,15,1.185924,False,False
ds002236,parc-pythia-seed0,pythia,0,Sem,ses-11,11,0.016909,0.025587,0.022162,0.023031,10,4000,0.109091,0.749509,0.390186,0.542447,0.043335,0.011916,0.026467,15,0.188628,False,False
ds002236,parc-pythia-seed0,pythia,0,Sem,ses-11+,11,0.010806,0.021147,0.019775,0.010727,10,4000,-0.009091,0.978837,0.436334,0.506525,0.024765,0.004633,0.0276,15,0.22364,False,False
ds002236,parc-pythia-seed0,pythia,0,Sem,ses-9,11,0.006776,0.028724,0.036359,-0.006506,10,4000,-0.5,0.117307,0.344432,0.482067,0.019673,0.010272,0.013456,15,-0.259814,False,False
ds002236,parc-pythia-seed1,pythia,1,Phon,ses-11,11,0.021161,0.024077,-0.002094,0.05855,10,4000,0.581818,0.06042,0.234711,0.411819,0.090157,-0.008114,0.021847,15,1.340024,False,False
ds002236,parc-pythia-seed1,pythia,1,Phon,ses-11+,11,0.016774,0.030134,0.016064,0.075506,10,4000,0.054545,0.873447,0.302747,0.40391,0.055407,-0.003292,0.016891,15,1.188028,False,False
ds002236,parc-pythia-seed1,pythia,1,Phon,ses-9,11,0.013788,0.031898,0.014196,0.072184,10,4000,0.509091,0.109737,0.255574,0.441516,0.05395,-0.001371,0.015495,15,0.97834,False,False
ds002236,parc-pythia-seed1,pythia,1,Sem,ses-11,11,0.01781,0.028458,0.074604,-0.028129,10,4000,-0.745455,0.008455,0.390186,0.542447,0.045646,0.011916,0.026467,15,0.222698,False,False
ds002236,parc-pythia-seed1,pythia,1,Sem,ses-11+,11,0.002408,0.031752,0.051687,-0.044632,10,4000,-0.9,0.00016,0.436334,0.506525,0.005519,0.004633,0.0276,15,-0.080614,False,False
ds002236,parc-pythia-seed1,pythia,1,Sem,ses-9,11,0.011726,0.030295,0.056961,-0.022296,10,4000,-0.890909,0.000233,0.344432,0.482067,0.034043,0.010272,0.013456,15,0.108023,False,False
ds002236,parc-pythia-seed2,pythia,2,Phon,ses-11,11,0.017169,0.021645,0.010131,0.041246,10,4000,0.4,0.222868,0.234711,0.411819,0.07315,-0.008114,0.021847,15,1.157311,False,False
ds002236,parc-pythia-seed2,pythia,2,Phon,ses-11+,11,0.002828,0.027428,-0.007059,0.039347,10,4000,0.263636,0.433441,0.302747,0.40391,0.009342,-0.003292,0.016891,15,0.362356,False,False
ds002236,parc-pythia-seed2,pythia,2,Phon,ses-9,11,0.006322,0.027467,-0.018482,0.036576,10,4000,0.627273,0.038845,0.255574,0.441516,0.024736,-0.001371,0.015495,15,0.49646,False,False
ds002236,parc-pythia-seed2,pythia,2,Sem,ses-11,11,0.015833,0.032239,0.006574,0.038534,10,4000,0.645455,0.031963,0.390186,0.542447,0.040577,0.011916,0.026467,15,0.147974,False,False
ds002236,parc-pythia-seed2,pythia,2,Sem,ses-11+,11,-0.002341,0.036001,-0.005615,0.009616,10,4000,0.563636,0.070952,0.436334,0.506525,-0.005366,0.004633,0.0276,15,-0.252702,False,False
ds002236,parc-pythia-seed2,pythia,2,Sem,ses-9,11,-0.007387,0.030648,0.00022,0.013908,10,4000,0.645455,0.031963,0.344432,0.482067,-0.021446,0.010272,0.013456,15,-1.312334,False,False
ds002236,parc-rwkv-seed0,rwkv,0,Phon,ses-11,11,0.014049,0.021408,0.035846,0.04434,10,4000,-0.209091,0.537221,0.234711,0.411819,0.059856,-0.008114,0.021847,15,1.014489,False,False
ds002236,parc-rwkv-seed0,rwkv,0,Phon,ses-11+,11,0.01117,0.029847,0.047808,0.052018,10,4000,-0.109091,0.749509,0.302747,0.40391,0.036896,-0.003292,0.016891,15,0.856247,False,False
ds002236,parc-rwkv-seed0,rwkv,0,Phon,ses-9,11,0.008882,0.027388,0.027961,0.050473,10,4000,0.181818,0.592615,0.255574,0.441516,0.034755,-0.001371,0.015495,15,0.661721,False,False
ds002236,parc-rwkv-seed0,rwkv,0,Sem,ses-11,11,0.030205,0.023244,0.051183,0.018369,10,4000,-0.563636,0.070952,0.390186,0.542447,0.077413,0.011916,0.026467,15,0.69101,False,False
ds002236,parc-rwkv-seed0,rwkv,0,Sem,ses-11+,11,0.001557,0.019742,0.01402,-0.023968,10,4000,-0.590909,0.055576,0.436334,0.506525,0.003569,0.004633,0.0276,15,-0.111451,False,False
ds002236,parc-rwkv-seed0,rwkv,0,Sem,ses-9,11,0.003187,0.019214,0.018881,-0.01424,10,4000,-0.918182,6.7e-05,0.344432,0.482067,0.009252,0.010272,0.013456,15,-0.526567,False,False
ds002236,parc-rwkv-seed1,rwkv,1,Phon,ses-11,11,0.000391,0.022929,0.006882,0.028965,10,4000,0.127273,0.709215,0.234711,0.411819,0.001667,-0.008114,0.021847,15,0.389335,False,False
ds002236,parc-rwkv-seed1,rwkv,1,Phon,ses-11+,11,-0.005756,0.02834,-0.003758,0.044724,10,4000,0.381818,0.24656,0.302747,0.40391,-0.019013,-0.003292,0.016891,15,-0.145882,False,False
ds002236,parc-rwkv-seed1,rwkv,1,Phon,ses-9,11,0.003296,0.025896,0.000891,0.054393,10,4000,0.318182,0.340298,0.255574,0.441516,0.012897,-0.001371,0.015495,15,0.301181,False,False
ds002236,parc-rwkv-seed1,rwkv,1,Sem,ses-11,11,0.030979,0.024424,0.054516,-0.008069,10,4000,-0.436364,0.179665,0.390186,0.542447,0.079395,0.011916,0.026467,15,0.720228,False,False
ds002236,parc-rwkv-seed1,rwkv,1,Sem,ses-11+,11,-0.000501,0.026775,0.010794,-0.024992,10,4000,-0.118182,0.729285,0.436334,0.506525,-0.001148,0.004633,0.0276,15,-0.186018,False,False
ds002236,parc-rwkv-seed1,rwkv,1,Sem,ses-9,11,0.012018,0.026026,0.037006,0.000334,10,4000,-0.236364,0.484091,0.344432,0.482067,0.034893,0.010272,0.013456,15,0.129763,False,False
ds002236,parc-rwkv-seed2,rwkv,2,Phon,ses-11,11,0.019071,0.016893,0.020442,0.045804,10,4000,0.309091,0.355028,0.234711,0.411819,0.081251,-0.008114,0.021847,15,1.244342,False,False
ds002236,parc-rwkv-seed2,rwkv,2,Phon,ses-11+,11,0.019115,0.022533,0.01883,0.063406,10,4000,0.245455,0.466922,0.302747,0.40391,0.06314,-0.003292,0.016891,15,1.326642,False,False
