dataset,arch,seed,n_cells,rsa_mean,rsa_sd_across_cells,rsa_final_mean,frac_of_ceiling_mean,mean_z_vs_untrained
ds002236,mamba,0,6,0.021269,0.009716,0.015889,0.068697,0.952478
ds002236,mamba,1,6,0.023599,0.005641,0.022616,0.075421,1.127352
ds002236,mamba,2,6,0.026357,0.017088,0.03173,0.094111,1.295921
ds002236,pythia,0,6,0.014912,0.005759,0.031742,0.050377,0.639499
ds002236,pythia,1,6,0.013945,0.006528,0.01853,0.047454,0.626083
ds002236,pythia,2,6,0.005404,0.00978,0.029871,0.020165,0.099844
ds002236,rwkv,0,6,0.011508,0.010308,0.021165,0.036957,0.430908
ds002236,rwkv,1,6,0.006738,0.013237,0.015892,0.018115,0.201434
ds002236,rwkv,2,6,0.023197,0.011033,0.03481,0.070894,1.065103
ds003604,mamba,0,12,-0.001287,0.011742,0.001626,-0.001413,-0.600765
ds003604,mamba,1,12,-0.005874,0.007073,-0.002455,-0.00681,-0.993464
ds003604,mamba,2,12,-0.004294,0.007346,-0.004933,-0.004965,-0.867535
ds003604,pythia,0,12,0.003894,0.016924,0.002945,0.004642,-0.225553
ds003604,pythia,1,12,0.003889,0.017229,0.007042,0.00466,-0.249544
ds003604,pythia,2,12,0.004922,0.018468,0.0021,0.005878,-0.172304
ds003604,rwkv,0,12,0.002951,0.01044,0.003122,0.00352,-0.317558
ds003604,rwkv,1,12,-0.001559,0.008442,-0.000856,-0.001784,-0.691427
ds003604,rwkv,2,12,0.000945,0.012134,0.002564,0.0012,-0.454078
ds006239,mamba,0,8,-0.00472,0.018484,-0.014043,0.001673,-0.11584
ds006239,mamba,1,8,-0.005521,0.024036,-0.006447,0.004142,-0.235178
ds006239,mamba,2,8,-0.005373,0.022699,-0.015256,0.003371,-0.207408
ds006239,pythia,0,8,-0.006076,0.013618,0.002932,-0.007561,-0.125741
ds006239,pythia,1,8,-0.004293,0.016091,0.001962,1.5e-05,-0.074117
ds006239,pythia,2,8,-0.003054,0.011979,-0.004552,-0.001245,0.045694
ds006239,rwkv,0,8,-0.011688,0.012581,-0.015992,-0.023115,-0.398423
ds006239,rwkv,1,8,-0.010296,0.01117,-0.019844,-0.019502,-0.307596
ds006239,rwkv,2,8,-0.006587,0.011333,-0.014598,-0.01046,-0.11726
