dataset,task,session,n_stim,n_pairs,perm_null_sd,mde_single_cell,mde_as_frac_of_relational_ceiling,best_observed_model_rsa,relational_ceiling
ds002236,Phon,ses-11+,96.0,4560.0,0.01493,0.0418,0.093,0.0989,0.4495
ds002236,Phon,ses-11,96.0,4560.0,0.0143,0.0401,0.1263,0.0887,0.3174
ds002236,Phon,ses-9,96.0,4560.0,0.01507,0.0422,0.1329,0.1032,0.3177
ds002236,Sem,ses-11+,48.0,1128.0,0.03004,0.0842,0.1262,0.0663,0.667
ds002236,Sem,ses-11,48.0,1128.0,0.02989,0.0838,0.1614,0.0815,0.519
ds002236,Sem,ses-9,48.0,1128.0,0.03019,0.0846,0.1752,0.0605,0.4829
ds003604,Gram,ses-5,60.0,1770.0,0.02363,0.0662,0.0699,0.0667,0.9469
ds003604,Gram,ses-7,60.0,1770.0,0.02399,0.0672,0.071,0.0609,0.9466
ds003604,Gram,ses-9,60.0,1770.0,0.02354,0.066,0.0688,0.0264,0.9581
ds003604,Phon,ses-5,72.0,2556.0,0.01994,0.0559,0.0564,0.0311,0.99
ds003604,Phon,ses-7,72.0,2556.0,0.01936,0.0542,0.0546,0.0328,0.9934
ds003604,Phon,ses-9,72.0,2556.0,0.01992,0.0558,0.0562,0.0324,0.9931
ds003604,Plaus,ses-5,60.0,1770.0,0.02417,0.0677,0.0695,0.0362,0.9747
ds003604,Plaus,ses-7,60.0,1770.0,0.02468,0.0692,0.0707,0.0383,0.9789
ds003604,Plaus,ses-9,60.0,1770.0,0.02421,0.0678,0.0692,0.0385,0.981
ds003604,Sem,ses-5,72.0,2556.0,0.0194,0.0544,0.0551,0.0247,0.9868
ds003604,Sem,ses-7,72.0,2556.0,0.01978,0.0554,0.0562,0.0373,0.987
ds003604,Sem,ses-9,72.0,2556.0,0.01972,0.0553,0.0559,0.0348,0.9893
ds006239,Orth,ses-11+,96.0,4560.0,0.01469,0.0412,0.0489,0.0378,0.8409
ds006239,Orth,ses-11,96.0,4560.0,0.01493,0.0418,0.054,0.0248,0.7752
ds006239,Phon,ses-11+,96.0,4560.0,0.01488,0.0417,0.0495,0.0378,0.8418
ds006239,Phon,ses-11,96.0,4560.0,0.01479,0.0414,0.0534,0.0248,0.7762
ds006239,Sem,ses-11+,48.0,1128.0,0.02979,0.0835,0.1346,0.0548,0.6201
ds006239,Sem,ses-11,48.0,1128.0,0.02953,0.0827,0.1702,0.0491,0.4861
ds006239,SemLocal,ses-11+,48.0,1128.0,0.03003,0.0841,0.1587,0.0547,0.5302
ds006239,SemLocal,ses-11,48.0,1128.0,0.02992,0.0838,0.2243,0.0704,0.3738
