dataset,family_fp32,model_ref,step_fp32,tokens_fp32,task,session,n_stim_fp32,rsa_fp32,rsa_pearson_fp32,rsa_kendall_fp32,family_bf16,step_bf16,tokens_bf16,n_stim_bf16,rsa_bf16,rsa_pearson_bf16,rsa_kendall_bf16,delta,abs_delta
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step0,0,0,Phon,ses-11,96,0.0107922527656606,0.0109003803553654,0.0072007173010393,pythia-410m-full,0,0,96,0.0109587284655801,0.0111670015306077,0.0073011548392806,0.0001664756999195001,0.0001664756999195001
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step1,1,2097152,Phon,ses-11,96,0.0107922527656606,0.0109003803553654,0.0072007173010393,pythia-410m-full,1,2097152,96,0.0109587284655801,0.0111670015306077,0.0073011548392806,0.0001664756999195001,0.0001664756999195001
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step4,4,8388608,Phon,ses-11,96,0.0117051812308606,0.0111890757593785,0.0077946841220181,pythia-410m-full,4,8388608,96,0.0116270504054738,0.0112080381972146,0.0077340752627345,-7.813082538679975e-05,7.813082538679975e-05
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step16,16,33554432,Phon,ses-11,96,0.0388446023322141,0.027439353351089,0.0259398221370491,pythia-410m-full,16,33554432,96,0.0393796613487691,0.0277595090846451,0.0262821178851933,0.0005350590165549979,0.0005350590165549979
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step256,256,536870912,Phon,ses-11,96,0.0054010884994489,0.0378281897320875,0.0033856301204865,pythia-410m-full,256,536870912,96,0.0054722376722506,0.0378442469631572,0.0034221878451337,7.114917280170042e-05,7.114917280170042e-05
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step5000,5000,10485760000,Phon,ses-11,96,0.0259030774452829,0.0257835155506269,0.0172038728099036,pythia-410m-full,5000,10485760000,96,0.0255762970993849,0.0254220126730298,0.0169737515537032,-0.00032678034589799995,0.00032678034589799995
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step14000,14000,29360128000,Phon,ses-11,96,0.0445302443668766,0.0446791778243391,0.0298632356280039,pythia-410m-full,14000,29360128000,96,0.0425388921749175,0.0426506708442447,0.0285606261761004,-0.001991352191959103,0.001991352191959103
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step28000,28000,58720256000,Phon,ses-11,96,0.0369290935714348,0.016157272647097,0.0245538995547653,pythia-410m-full,28000,58720256000,96,0.033683998264638,0.0143581643621671,0.022387373346725,-0.0032450953067967997,0.0032450953067967997
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step51000,51000,106954752000,Phon,ses-11,96,0.0457202686066489,0.0265395613468871,0.0305757264404705,pythia-410m-full,51000,106954752000,96,0.0454046204821316,0.0269976925303918,0.0303577269561268,-0.00031564812451730095,0.00031564812451730095
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step86000,86000,180355072000,Phon,ses-11,96,0.032288204982798,0.019523506686014,0.0217160580767558,pythia-410m-full,86000,180355072000,96,0.0316260133454379,0.0229361603127695,0.0212306099752561,-0.0006621916373600947,0.0006621916373600947
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step143000,143000,299892736000,Phon,ses-11,96,0.0410751799653649,0.0271445354609155,0.0272216514086268,pythia-410m-full,143000,299892736000,96,0.0346641340266097,0.0233004016184119,0.0230173206651196,-0.006411045938755203,0.006411045938755203
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step0,0,0,Phon,ses-11+,96,-0.0001194655346124,0.0122332944412296,3.809699726394292e-05,pythia-410m-full,0,0,96,0.0005821341056877,0.0125394512831897,0.0005037269638232,0.0007015996403001001,0.0007015996403001001
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step1,1,2097152,Phon,ses-11+,96,-0.0001194655346124,0.0122332944412296,3.809699726394292e-05,pythia-410m-full,1,2097152,96,0.0005821341056877,0.0125394512831897,0.0005037269638232,0.0007015996403001001,0.0007015996403001001
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step4,4,8388608,Phon,ses-11+,96,-0.0011760534677294,0.012209282253632,-0.0006620796342688,pythia-410m-full,4,8388608,96,-0.0006820804755702,0.0122428977571486,-0.0003490300658423,0.0004939729921591999,0.0004939729921591999
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step16,16,33554432,Phon,ses-11+,96,0.0163120417616574,0.0217260749304594,0.0109449979412228,pythia-410m-full,16,33554432,96,0.0168675838023139,0.0220000962313699,0.0112976837795299,0.0005555420406565016,0.0005555420406565016
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step256,256,536870912,Phon,ses-11+,96,-0.0079765830061959,0.0427968244972527,-0.006112836379169,pythia-410m-full,256,536870912,96,-0.0078782971928803,0.0427938509195325,-0.0060416450206454,9.828581331560067e-05,9.828581331560067e-05
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step5000,5000,10485760000,Phon,ses-11+,96,0.0375260789073649,0.0300337733447752,0.0248667567141147,pythia-410m-full,5000,10485760000,96,0.0375216310557879,0.0298986686567429,0.0248840735310529,-4.447851577001061e-06,4.447851577001061e-06
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step14000,14000,29360128000,Phon,ses-11+,96,0.046123318881374,0.0310458527448775,0.030604395392957,pythia-410m-full,14000,29360128000,96,0.0441127750546289,0.0291339979648165,0.0292329034914551,-0.0020105438267450995,0.0020105438267450995
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step28000,28000,58720256000,Phon,ses-11+,96,0.0301595046022019,0.0089636545619882,0.0200623020591619,pythia-410m-full,28000,58720256000,96,0.0259820970816421,0.0071891706278206,0.0172654437145726,-0.004177407520559801,0.004177407520559801
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step51000,51000,106954752000,Phon,ses-11+,96,0.046131660390701,0.0144676205845311,0.0308089262419043,pythia-410m-full,51000,106954752000,96,0.0465835716027195,0.0147613972426436,0.0311450648995817,0.00045191121201849926,0.00045191121201849926
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step86000,86000,180355072000,Phon,ses-11+,96,0.0213212938371335,0.0048314324354966,0.0141686196187991,pythia-410m-full,86000,180355072000,96,0.023087618023827,0.0086468956449398,0.0153228816722657,0.0017663241866935006,0.0017663241866935006
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step143000,143000,299892736000,Phon,ses-11+,96,0.034813684730575,0.0134820810658369,0.0230048140751088,pythia-410m-full,143000,299892736000,96,0.0322096047568849,0.0112188529054485,0.021245233065115,-0.002604079973690103,0.002604079973690103
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step0,0,0,Phon,ses-9,96,0.017284668507336,0.0091881661542359,0.0114870143113871,pythia-410m-full,0,0,96,0.0177850568087652,0.0094990496914273,0.0118579790120178,0.000500388301429202,0.000500388301429202
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step1,1,2097152,Phon,ses-9,96,0.017284668507336,0.0091881661542359,0.0114870143113871,pythia-410m-full,1,2097152,96,0.0177850568087652,0.0094990496914273,0.0118579790120178,0.000500388301429202,0.000500388301429202
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step4,4,8388608,Phon,ses-9,96,0.0161558604746838,0.008216333145449,0.0107291149567271,pythia-410m-full,4,8388608,96,0.0164435705987162,0.0082961158722494,0.0109363395327538,0.000287710124032399,0.000287710124032399
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step16,16,33554432,Phon,ses-9,96,0.0210580332918798,0.0181985342621036,0.0139933349495695,pythia-410m-full,16,33554432,96,0.0214598744394469,0.0184241547927009,0.0142702116115029,0.0004018411475671009,0.0004018411475671009
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step256,256,536870912,Phon,ses-9,96,-0.0142178852859073,0.0391660663210616,-0.0097714949800471,pythia-410m-full,256,536870912,96,-0.0141151732622899,0.0391916088589001,-0.0096979947125985,0.00010271202361740103,0.00010271202361740103
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step5000,5000,10485760000,Phon,ses-9,96,0.052108050047922,0.0378582548724004,0.034725605415161,pythia-410m-full,5000,10485760000,96,0.0516010157235103,0.0377284108883673,0.034405051892728,-0.0005070343244117023,0.0005070343244117023
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step14000,14000,29360128000,Phon,ses-9,96,0.0366117023750788,0.028866781561726,0.0243732274313773,pythia-410m-full,14000,29360128000,96,0.0351369665301934,0.0269247120696149,0.0232795742371942,-0.0014747358448853956,0.0014747358448853956
