dataset,task,session,n_stim,n_subjects,ceiling_published,ceiling_full_splithalf,ceiling_full_sd,ceiling_relational_splithalf,ceiling_relational_sd,relational_frac_of_full,additive_var_share,amplitude_splithalf_spearman,amplitude_surface_r2
ds003604,Gram,ses-5,60,97,0.8398,0.9218,0.0225,0.9469,0.0165,1.0272,0.0008,0.9362,0.0178
ds003604,Gram,ses-7,60,104,0.8474,0.8695,0.0278,0.9466,0.0163,1.0887,0.0012,0.9891,0.0081
ds003604,Gram,ses-9,60,96,0.8563,0.886,0.0297,0.9581,0.0139,1.0814,0.0011,0.9923,0.0062
ds003604,Phon,ses-5,72,93,0.8557,0.9079,0.0417,0.99,0.0061,1.0904,0.0031,0.9918,0.0004
ds003604,Phon,ses-7,72,104,0.846,0.8033,0.0441,0.9934,0.0044,1.2367,0.0034,0.9993,0.0
ds003604,Phon,ses-9,72,96,0.8734,0.9251,0.0389,0.9931,0.0054,1.0736,0.0033,0.9994,0.0
ds003604,Plaus,ses-5,60,82,0.8378,0.8581,0.0256,0.9747,0.0069,1.1359,0.0029,0.9844,0.0976
ds003604,Plaus,ses-7,60,103,0.8461,0.8587,0.0311,0.9789,0.0068,1.14,0.0028,0.9941,0.0996
ds003604,Plaus,ses-9,60,89,0.8571,0.9003,0.0233,0.981,0.0064,1.0896,0.0026,0.9946,0.0986
ds003604,Sem,ses-5,72,89,0.8592,0.9306,0.0383,0.9868,0.007,1.0605,0.0017,0.9925,0.0534
ds003604,Sem,ses-7,72,117,0.8546,0.8934,0.0492,0.987,0.0089,1.1048,0.0019,0.9993,0.0592
ds003604,Sem,ses-9,72,83,0.8813,0.9575,0.0242,0.9893,0.0069,1.0333,0.0019,0.9989,0.0598
ds002236,Phon,ses-11+,96,20,0.3027,0.4716,0.0105,0.4495,0.0124,0.953,0.0626,0.8442,0.0001
ds002236,Phon,ses-11,96,10,0.2347,0.3151,0.0154,0.3174,0.0194,1.0075,0.0636,0.7651,0.0001
ds002236,Phon,ses-9,96,9,0.2556,0.3262,0.0144,0.3177,0.0181,0.9739,0.0647,0.7332,0.0008
ds002236,Sem,ses-11+,48,21,0.4363,0.6615,0.0151,0.667,0.0154,1.0082,0.0012,0.0416,0.0143
ds002236,Sem,ses-11,48,8,0.3902,0.511,0.0222,0.519,0.023,1.0156,0.0061,0.1764,0.0393
ds002236,Sem,ses-9,48,11,0.3444,0.4667,0.028,0.4829,0.0287,1.0347,0.0066,0.0272,0.0006
ds006239,Orth,ses-11+,96,22,0.5622,0.7375,0.0096,0.8409,0.0083,1.1402,0.0156,0.9387,0.0262
ds006239,Orth,ses-11,96,18,0.5225,0.6844,0.0142,0.7752,0.0156,1.1327,0.0139,0.6555,0.0295
ds006239,Phon,ses-11+,96,22,0.5622,0.7384,0.0091,0.8418,0.0078,1.14,0.0156,0.938,0.0262
ds006239,Phon,ses-11,96,18,0.5225,0.6855,0.0133,0.7762,0.0156,1.1324,0.0139,0.6619,0.0295
ds006239,Sem,ses-11+,48,22,0.3566,0.6013,0.0184,0.6201,0.0176,1.0312,0.0029,0.2589,0.0017
ds006239,Sem,ses-11,48,18,0.2893,0.4826,0.0235,0.4861,0.0231,1.0073,0.0048,0.1201,0.052
ds006239,SemLocal,ses-11+,48,23,0.3056,0.5214,0.0265,0.5302,0.0253,1.0169,0.0034,0.0315,0.016
ds006239,SemLocal,ses-11,48,15,0.2306,0.3651,0.0314,0.3738,0.0402,1.0239,0.0063,0.0601,0.0534
