dataset,task,session,n_stim,n_subjects,eff_dim_full,eff_dim_relational,pc1_var_share_relational,pc1_splithalf_reliability,rsa_vs_index_distance_full,rsa_vs_index_distance_relational,pc1_vs_stim_length_rho,pc1_vs_row_index_rho,pc1_vs_trialtype_kruskal_p
ds002236,Phon,ses-11+,96,20,67.79,18.97,0.1061,0.4449,0.0291,0.0178,0.0496,-0.0684,
ds002236,Phon,ses-11,96,10,62.17,17.13,0.1198,0.1608,0.0132,0.0143,-0.041,0.1031,
ds002236,Phon,ses-9,96,9,65.43,19.33,0.1011,0.3221,0.0047,-0.001,-0.0056,0.108,
ds002236,Sem,ses-11+,48,21,37.85,10.4,0.1719,0.6563,0.0586,0.0475,0.0117,-0.0498,
ds002236,Sem,ses-11,48,8,36.77,9.88,0.1602,0.3552,0.0474,0.047,0.0756,-0.1462,
ds002236,Sem,ses-9,48,11,37.08,10.12,0.1809,0.2488,0.0397,0.0259,-0.2191,0.0856,
ds003604,Gram,ses-5,60,97,6.74,6.05,0.2093,0.7848,0.005,-0.0104,0.2635,0.2144,0.5055
ds003604,Gram,ses-7,60,104,6.59,6.07,0.2136,0.8354,0.0009,-0.0193,0.2301,0.1825,0.9139
ds003604,Gram,ses-9,60,96,6.63,6.12,0.2112,0.9292,0.01,-0.0144,0.1048,0.2637,0.6151
ds003604,Phon,ses-5,72,93,4.12,3.98,0.2689,0.5054,-0.0028,-0.0023,0.0792,0.0865,0.748
ds003604,Phon,ses-7,72,104,4.02,3.97,0.2752,0.7725,-0.0065,-0.006,-0.0189,-0.0521,0.9902
ds003604,Phon,ses-9,72,96,4.01,3.97,0.2761,0.9453,-0.0011,-0.0045,-0.1155,-0.0751,0.7949
ds003604,Plaus,ses-5,60,82,6.75,6.22,0.2102,0.8665,-0.0195,-0.0055,-0.0705,-0.0387,0.8372
ds003604,Plaus,ses-7,60,103,6.68,6.21,0.2093,0.682,-0.0108,-0.0015,-0.0499,-0.043,0.7357
ds003604,Plaus,ses-9,60,89,6.68,6.2,0.2103,0.6076,-0.0171,-0.0064,-0.2584,-0.0072,0.9408
ds003604,Sem,ses-5,72,89,4.07,3.96,0.2807,0.9756,0.0122,-0.001,0.0867,-0.1649,0.1881
ds003604,Sem,ses-7,72,117,4.0,3.96,0.277,0.7005,-0.0044,-0.0039,0.1671,0.0038,0.9818
ds003604,Sem,ses-9,72,83,4.0,3.96,0.2784,0.7615,0.0103,0.0008,0.1306,0.0915,0.3399
ds006239,Orth,ses-11+,96,22,30.44,5.8,0.3528,0.8961,0.0566,0.0522,0.0751,0.2912,
ds006239,Orth,ses-11,96,18,31.45,6.24,0.3247,0.8434,0.0783,0.0569,-0.1729,-0.2412,
ds006239,Phon,ses-11+,96,22,30.44,5.8,0.3528,0.8992,0.0566,0.0522,0.0751,0.2912,
ds006239,Phon,ses-11,96,18,31.45,6.24,0.3247,0.8374,0.0783,0.0569,-0.1729,-0.2412,
ds006239,Sem,ses-11+,48,22,38.2,11.81,0.1543,0.6552,-0.0055,0.0113,0.0747,-0.2908,
ds006239,Sem,ses-11,48,18,37.41,11.02,0.1673,0.4092,-0.0186,-0.0249,0.1505,-0.1213,
ds006239,SemLocal,ses-11+,48,23,38.99,10.47,0.1563,0.3537,-0.0185,-0.0286,-0.0758,-0.1154,
ds006239,SemLocal,ses-11,48,15,37.68,10.58,0.1586,0.2718,0.01,0.0131,0.2619,-0.0242,
