contrast,dataset,task,session,j,s_ff,ratio,verdict
batch16 vs b_batch4,ds002236,Phon,ses-11,3e-06,0.01373,0.000232,stable
batch16 vs b_batch4,ds002236,Phon,ses-11+,5e-06,0.013758,0.000349,stable
batch16 vs b_batch4,ds002236,Phon,ses-9,0.0,0.013266,2.4e-05,stable
batch16 vs b_batch4,ds002236,Sem,ses-11,1.5e-05,0.015211,0.000981,stable
batch16 vs b_batch4,ds002236,Sem,ses-11+,1e-05,0.012739,0.000821,stable
batch16 vs b_batch4,ds002236,Sem,ses-9,1e-05,0.010965,0.000928,stable
batch16 vs b_batch4,ds003604,Gram,ses-5,3e-06,0.011314,0.00023,stable
batch16 vs b_batch4,ds003604,Gram,ses-7,1e-06,0.010026,5.2e-05,stable
batch16 vs b_batch4,ds003604,Gram,ses-9,2e-06,0.006534,0.000282,stable
batch16 vs b_batch4,ds003604,Phon,ses-5,2e-06,0.00668,0.000373,stable
batch16 vs b_batch4,ds003604,Phon,ses-7,3e-06,0.006303,0.0005,stable
batch16 vs b_batch4,ds003604,Phon,ses-9,1e-06,0.006307,0.000136,stable
batch16 vs b_batch4,ds003604,Plaus,ses-5,1.1e-05,0.004394,0.002528,stable
batch16 vs b_batch4,ds003604,Plaus,ses-7,9e-06,0.005246,0.001623,stable
batch16 vs b_batch4,ds003604,Plaus,ses-9,1e-05,0.004836,0.002054,stable
batch16 vs b_batch4,ds003604,Sem,ses-5,8e-06,0.005979,0.00142,stable
batch16 vs b_batch4,ds003604,Sem,ses-7,8e-06,0.007054,0.001176,stable
batch16 vs b_batch4,ds003604,Sem,ses-9,1e-05,0.00717,0.001369,stable
batch16 vs b_batch4,ds006239,Orth,ses-11,1e-06,0.013237,0.000109,stable
batch16 vs b_batch4,ds006239,Orth,ses-11+,0.0,0.015741,1.1e-05,stable
batch16 vs b_batch4,ds006239,Phon,ses-11,1e-06,0.013237,0.000109,stable
batch16 vs b_batch4,ds006239,Phon,ses-11+,0.0,0.015741,1.1e-05,stable
batch16 vs b_batch4,ds006239,Sem,ses-11,1.1e-05,0.012401,0.000926,stable
batch16 vs b_batch4,ds006239,Sem,ses-11+,8e-06,0.008993,0.000892,stable
batch16 vs b_batch4,ds006239,SemLocal,ses-11,2e-06,0.015084,0.000154,stable
batch16 vs b_batch4,ds006239,SemLocal,ses-11+,4e-06,0.009137,0.000467,stable
batch16 vs c_batch32,ds002236,Phon,ses-11,1e-06,0.01373,7.8e-05,stable
batch16 vs c_batch32,ds002236,Phon,ses-11+,1e-06,0.013758,8.3e-05,stable
batch16 vs c_batch32,ds002236,Phon,ses-9,4e-06,0.013266,0.000293,stable
batch16 vs c_batch32,ds002236,Sem,ses-11,1.6e-05,0.015211,0.00105,stable
batch16 vs c_batch32,ds002236,Sem,ses-11+,1.1e-05,0.012739,0.000862,stable
batch16 vs c_batch32,ds002236,Sem,ses-9,1.6e-05,0.010965,0.001472,stable
batch16 vs c_batch32,ds003604,Gram,ses-5,3e-06,0.011314,0.000237,stable
batch16 vs c_batch32,ds003604,Gram,ses-7,2e-06,0.010026,0.000217,stable
batch16 vs c_batch32,ds003604,Gram,ses-9,3e-06,0.006534,0.000438,stable
batch16 vs c_batch32,ds003604,Phon,ses-5,3e-06,0.00668,0.000433,stable
batch16 vs c_batch32,ds003604,Phon,ses-7,3e-06,0.006303,0.000508,stable
batch16 vs c_batch32,ds003604,Phon,ses-9,2e-06,0.006307,0.0003,stable
batch16 vs c_batch32,ds003604,Plaus,ses-5,8e-06,0.004394,0.001884,stable
batch16 vs c_batch32,ds003604,Plaus,ses-7,3e-06,0.005246,0.000604,stable
batch16 vs c_batch32,ds003604,Plaus,ses-9,5e-06,0.004836,0.001044,stable
batch16 vs c_batch32,ds003604,Sem,ses-5,0.0,0.005979,5.7e-05,stable
batch16 vs c_batch32,ds003604,Sem,ses-7,0.0,0.007054,6.7e-05,stable
batch16 vs c_batch32,ds003604,Sem,ses-9,2e-06,0.00717,0.000233,stable
batch16 vs c_batch32,ds006239,Orth,ses-11,1e-06,0.013237,7.9e-05,stable
batch16 vs c_batch32,ds006239,Orth,ses-11+,0.0,0.015741,5e-06,stable
batch16 vs c_batch32,ds006239,Phon,ses-11,1e-06,0.013237,7.9e-05,stable
batch16 vs c_batch32,ds006239,Phon,ses-11+,0.0,0.015741,5e-06,stable
batch16 vs c_batch32,ds006239,Sem,ses-11,8e-06,0.012401,0.000627,stable
batch16 vs c_batch32,ds006239,Sem,ses-11+,8e-06,0.008993,0.000893,stable
batch16 vs c_batch32,ds006239,SemLocal,ses-11,2e-06,0.015084,0.00012,stable
batch16 vs c_batch32,ds006239,SemLocal,ses-11+,8e-06,0.009137,0.000925,stable
batch16 vs d_gpu2,ds002236,Phon,ses-11,0.0,0.01373,0.0,stable
batch16 vs d_gpu2,ds002236,Phon,ses-11+,0.0,0.013758,0.0,stable
batch16 vs d_gpu2,ds002236,Phon,ses-9,0.0,0.013266,0.0,stable
batch16 vs d_gpu2,ds002236,Sem,ses-11,0.0,0.015211,0.0,stable
batch16 vs d_gpu2,ds002236,Sem,ses-11+,0.0,0.012739,0.0,stable
batch16 vs d_gpu2,ds002236,Sem,ses-9,0.0,0.010965,0.0,stable
batch16 vs d_gpu2,ds003604,Gram,ses-5,0.0,0.011314,0.0,stable
batch16 vs d_gpu2,ds003604,Gram,ses-7,0.0,0.010026,0.0,stable
batch16 vs d_gpu2,ds003604,Gram,ses-9,0.0,0.006534,0.0,stable
batch16 vs d_gpu2,ds003604,Phon,ses-5,0.0,0.00668,0.0,stable
batch16 vs d_gpu2,ds003604,Phon,ses-7,0.0,0.006303,0.0,stable
batch16 vs d_gpu2,ds003604,Phon,ses-9,0.0,0.006307,0.0,stable
batch16 vs d_gpu2,ds003604,Plaus,ses-5,0.0,0.004394,0.0,stable
batch16 vs d_gpu2,ds003604,Plaus,ses-7,0.0,0.005246,0.0,stable
batch16 vs d_gpu2,ds003604,Plaus,ses-9,0.0,0.004836,0.0,stable
batch16 vs d_gpu2,ds003604,Sem,ses-5,0.0,0.005979,0.0,stable
batch16 vs d_gpu2,ds003604,Sem,ses-7,0.0,0.007054,0.0,stable
batch16 vs d_gpu2,ds003604,Sem,ses-9,0.0,0.00717,0.0,stable
batch16 vs d_gpu2,ds006239,Orth,ses-11,0.0,0.013237,0.0,stable
batch16 vs d_gpu2,ds006239,Orth,ses-11+,0.0,0.015741,0.0,stable
batch16 vs d_gpu2,ds006239,Phon,ses-11,0.0,0.013237,0.0,stable
batch16 vs d_gpu2,ds006239,Phon,ses-11+,0.0,0.015741,0.0,stable
batch16 vs d_gpu2,ds006239,Sem,ses-11,0.0,0.012401,0.0,stable
batch16 vs d_gpu2,ds006239,Sem,ses-11+,0.0,0.008993,0.0,stable
batch16 vs d_gpu2,ds006239,SemLocal,ses-11,0.0,0.015084,0.0,stable
batch16 vs d_gpu2,ds006239,SemLocal,ses-11+,0.0,0.009137,0.0,stable
batch16 vs main_sweep_gpu0,ds002236,Phon,ses-11,0.0,0.01373,0.0,stable
batch16 vs main_sweep_gpu0,ds002236,Phon,ses-11+,0.0,0.013758,0.0,stable
batch16 vs main_sweep_gpu0,ds002236,Phon,ses-9,0.0,0.013266,0.0,stable
batch16 vs main_sweep_gpu0,ds002236,Sem,ses-11,0.0,0.015211,0.0,stable
batch16 vs main_sweep_gpu0,ds002236,Sem,ses-11+,0.0,0.012739,0.0,stable
batch16 vs main_sweep_gpu0,ds002236,Sem,ses-9,0.0,0.010965,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Gram,ses-5,0.0,0.011314,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Gram,ses-7,0.0,0.010026,0.0,stable
