contrast,dataset,task,session,j,j_max,n,s_ff,ratio,verdict
batch16 vs b_batch4,ds002236,Phon,ses-11,1e-06,3e-06,11,0.01373,4.9e-05,stable
batch16 vs b_batch4,ds002236,Phon,ses-11+,1e-06,5e-06,11,0.013758,5.1e-05,stable
batch16 vs b_batch4,ds002236,Phon,ses-9,0.0,1e-06,11,0.013266,3.1e-05,stable
batch16 vs b_batch4,ds002236,Sem,ses-11,1e-06,1.5e-05,11,0.015211,8.9e-05,stable
batch16 vs b_batch4,ds002236,Sem,ses-11+,1e-06,1e-05,11,0.012739,7.5e-05,stable
batch16 vs b_batch4,ds002236,Sem,ses-9,1e-06,1e-05,11,0.010965,8.4e-05,stable
batch16 vs b_batch4,ds003604,Gram,ses-5,1e-06,3e-06,11,0.011314,5e-05,stable
batch16 vs b_batch4,ds003604,Gram,ses-7,0.0,1e-06,11,0.010026,2.2e-05,stable
batch16 vs b_batch4,ds003604,Gram,ses-9,0.0,2e-06,11,0.006534,5.7e-05,stable
batch16 vs b_batch4,ds003604,Phon,ses-5,1e-06,4e-06,11,0.00668,0.000165,stable
batch16 vs b_batch4,ds003604,Phon,ses-7,1e-06,3e-06,11,0.006303,0.000197,stable
batch16 vs b_batch4,ds003604,Phon,ses-9,1e-06,4e-06,11,0.006307,0.000128,stable
batch16 vs b_batch4,ds003604,Plaus,ses-5,1e-06,1.1e-05,11,0.004394,0.000282,stable
batch16 vs b_batch4,ds003604,Plaus,ses-7,1e-06,9e-06,11,0.005246,0.00019,stable
batch16 vs b_batch4,ds003604,Plaus,ses-9,1e-06,1e-05,11,0.004836,0.000242,stable
batch16 vs b_batch4,ds003604,Sem,ses-5,1e-06,8e-06,11,0.005979,0.000218,stable
batch16 vs b_batch4,ds003604,Sem,ses-7,1e-06,8e-06,11,0.007054,0.000193,stable
batch16 vs b_batch4,ds003604,Sem,ses-9,1e-06,1e-05,11,0.00717,0.000181,stable
batch16 vs b_batch4,ds006239,Orth,ses-11,1e-06,2e-06,11,0.013237,4.7e-05,stable
batch16 vs b_batch4,ds006239,Orth,ses-11+,1e-06,1e-06,11,0.015741,3.4e-05,stable
batch16 vs b_batch4,ds006239,Phon,ses-11,1e-06,2e-06,11,0.013237,4.7e-05,stable
batch16 vs b_batch4,ds006239,Phon,ses-11+,1e-06,1e-06,11,0.015741,3.4e-05,stable
batch16 vs b_batch4,ds006239,Sem,ses-11,2e-06,1.1e-05,11,0.012401,0.000179,stable
batch16 vs b_batch4,ds006239,Sem,ses-11+,2e-06,8e-06,11,0.008993,0.00018,stable
batch16 vs b_batch4,ds006239,SemLocal,ses-11,1e-06,4e-06,11,0.015084,7.6e-05,stable
batch16 vs b_batch4,ds006239,SemLocal,ses-11+,1e-06,4e-06,11,0.009137,0.000128,stable
batch16 vs c_batch32,ds002236,Phon,ses-11,0.0,1e-06,11,0.01373,2.8e-05,stable
batch16 vs c_batch32,ds002236,Phon,ses-11+,0.0,1e-06,11,0.013758,3.1e-05,stable
batch16 vs c_batch32,ds002236,Phon,ses-9,1e-06,4e-06,11,0.013266,4.5e-05,stable
batch16 vs c_batch32,ds002236,Sem,ses-11,2e-06,1.6e-05,11,0.015211,0.000103,stable
batch16 vs c_batch32,ds002236,Sem,ses-11+,1e-06,1.1e-05,11,0.012739,0.000114,stable
batch16 vs c_batch32,ds002236,Sem,ses-9,2e-06,1.6e-05,11,0.010965,0.000153,stable
batch16 vs c_batch32,ds003604,Gram,ses-5,0.0,3e-06,11,0.011314,4.2e-05,stable
batch16 vs c_batch32,ds003604,Gram,ses-7,0.0,2e-06,11,0.010026,3.9e-05,stable
batch16 vs c_batch32,ds003604,Gram,ses-9,0.0,3e-06,11,0.006534,6.2e-05,stable
batch16 vs c_batch32,ds003604,Phon,ses-5,1e-06,3e-06,11,0.00668,0.000121,stable
batch16 vs c_batch32,ds003604,Phon,ses-7,1e-06,3e-06,11,0.006303,0.00012,stable
batch16 vs c_batch32,ds003604,Phon,ses-9,1e-06,3e-06,11,0.006307,0.00013,stable
batch16 vs c_batch32,ds003604,Plaus,ses-5,1e-06,8e-06,11,0.004394,0.000265,stable
batch16 vs c_batch32,ds003604,Plaus,ses-7,1e-06,3e-06,11,0.005246,0.000179,stable
batch16 vs c_batch32,ds003604,Plaus,ses-9,1e-06,5e-06,11,0.004836,0.000238,stable
batch16 vs c_batch32,ds003604,Sem,ses-5,1e-06,2e-06,11,0.005979,0.000104,stable
batch16 vs c_batch32,ds003604,Sem,ses-7,1e-06,1e-06,11,0.007054,7.7e-05,stable
batch16 vs c_batch32,ds003604,Sem,ses-9,1e-06,2e-06,11,0.00717,0.000126,stable
batch16 vs c_batch32,ds006239,Orth,ses-11,0.0,1e-06,11,0.013237,1.9e-05,stable
batch16 vs c_batch32,ds006239,Orth,ses-11+,0.0,1e-06,11,0.015741,1.8e-05,stable
batch16 vs c_batch32,ds006239,Phon,ses-11,0.0,1e-06,11,0.013237,1.9e-05,stable
batch16 vs c_batch32,ds006239,Phon,ses-11+,0.0,1e-06,11,0.015741,1.8e-05,stable
batch16 vs c_batch32,ds006239,Sem,ses-11,2e-06,8e-06,11,0.012401,0.000124,stable
batch16 vs c_batch32,ds006239,Sem,ses-11+,2e-06,8e-06,11,0.008993,0.000179,stable
batch16 vs c_batch32,ds006239,SemLocal,ses-11,1e-06,4e-06,11,0.015084,3.7e-05,stable
batch16 vs c_batch32,ds006239,SemLocal,ses-11+,1e-06,8e-06,11,0.009137,0.000117,stable
batch16 vs d_gpu2,ds002236,Phon,ses-11,0.0,0.0,11,0.01373,0.0,stable
batch16 vs d_gpu2,ds002236,Phon,ses-11+,0.0,0.0,11,0.013758,0.0,stable
batch16 vs d_gpu2,ds002236,Phon,ses-9,0.0,0.0,11,0.013266,0.0,stable
batch16 vs d_gpu2,ds002236,Sem,ses-11,0.0,0.0,11,0.015211,0.0,stable
batch16 vs d_gpu2,ds002236,Sem,ses-11+,0.0,0.0,11,0.012739,0.0,stable
batch16 vs d_gpu2,ds002236,Sem,ses-9,0.0,0.0,11,0.010965,0.0,stable
batch16 vs d_gpu2,ds003604,Gram,ses-5,0.0,0.0,11,0.011314,0.0,stable
batch16 vs d_gpu2,ds003604,Gram,ses-7,0.0,0.0,11,0.010026,0.0,stable
batch16 vs d_gpu2,ds003604,Gram,ses-9,0.0,0.0,11,0.006534,0.0,stable
batch16 vs d_gpu2,ds003604,Phon,ses-5,0.0,0.0,11,0.00668,0.0,stable
batch16 vs d_gpu2,ds003604,Phon,ses-7,0.0,0.0,11,0.006303,0.0,stable
batch16 vs d_gpu2,ds003604,Phon,ses-9,0.0,0.0,11,0.006307,0.0,stable
batch16 vs d_gpu2,ds003604,Plaus,ses-5,0.0,0.0,11,0.004394,0.0,stable
batch16 vs d_gpu2,ds003604,Plaus,ses-7,0.0,0.0,11,0.005246,0.0,stable
batch16 vs d_gpu2,ds003604,Plaus,ses-9,0.0,0.0,11,0.004836,0.0,stable
batch16 vs d_gpu2,ds003604,Sem,ses-5,0.0,0.0,11,0.005979,0.0,stable
batch16 vs d_gpu2,ds003604,Sem,ses-7,0.0,0.0,11,0.007054,0.0,stable
batch16 vs d_gpu2,ds003604,Sem,ses-9,0.0,0.0,11,0.00717,0.0,stable
batch16 vs d_gpu2,ds006239,Orth,ses-11,0.0,0.0,11,0.013237,0.0,stable
batch16 vs d_gpu2,ds006239,Orth,ses-11+,0.0,0.0,11,0.015741,0.0,stable
batch16 vs d_gpu2,ds006239,Phon,ses-11,0.0,0.0,11,0.013237,0.0,stable
batch16 vs d_gpu2,ds006239,Phon,ses-11+,0.0,0.0,11,0.015741,0.0,stable
batch16 vs d_gpu2,ds006239,Sem,ses-11,0.0,0.0,11,0.012401,0.0,stable
batch16 vs d_gpu2,ds006239,Sem,ses-11+,0.0,0.0,11,0.008993,0.0,stable
batch16 vs d_gpu2,ds006239,SemLocal,ses-11,0.0,0.0,11,0.015084,0.0,stable
batch16 vs d_gpu2,ds006239,SemLocal,ses-11+,0.0,0.0,11,0.009137,0.0,stable
batch16 vs main_sweep_gpu0,ds002236,Phon,ses-11,0.0,0.0,11,0.01373,0.0,stable
batch16 vs main_sweep_gpu0,ds002236,Phon,ses-11+,0.0,0.0,11,0.013758,0.0,stable
batch16 vs main_sweep_gpu0,ds002236,Phon,ses-9,0.0,0.0,11,0.013266,0.0,stable
batch16 vs main_sweep_gpu0,ds002236,Sem,ses-11,0.0,0.0,11,0.015211,0.0,stable
batch16 vs main_sweep_gpu0,ds002236,Sem,ses-11+,0.0,0.0,11,0.012739,0.0,stable
batch16 vs main_sweep_gpu0,ds002236,Sem,ses-9,0.0,0.0,11,0.010965,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Gram,ses-5,0.0,0.0,11,0.011314,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Gram,ses-7,0.0,0.0,11,0.010026,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Gram,ses-9,0.0,0.0,11,0.006534,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Phon,ses-5,0.0,0.0,11,0.00668,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Phon,ses-7,0.0,0.0,11,0.006303,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Phon,ses-9,0.0,0.0,11,0.006307,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Plaus,ses-5,0.0,0.0,11,0.004394,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Plaus,ses-7,0.0,0.0,11,0.005246,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Plaus,ses-9,0.0,0.0,11,0.004836,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Sem,ses-5,0.0,0.0,11,0.005979,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Sem,ses-7,0.0,0.0,11,0.007054,0.0,stable
batch16 vs main_sweep_gpu0,ds003604,Sem,ses-9,0.0,0.0,11,0.00717,0.0,stable
batch16 vs main_sweep_gpu0,ds006239,Orth,ses-11,0.0,0.0,11,0.013237,0.0,stable
batch16 vs main_sweep_gpu0,ds006239,Orth,ses-11+,0.0,0.0,11,0.015741,0.0,stable
batch16 vs main_sweep_gpu0,ds006239,Phon,ses-11,0.0,0.0,11,0.013237,0.0,stable
batch16 vs main_sweep_gpu0,ds006239,Phon,ses-11+,0.0,0.0,11,0.015741,0.0,stable
batch16 vs main_sweep_gpu0,ds006239,Sem,ses-11,0.0,0.0,11,0.012401,0.0,stable
batch16 vs main_sweep_gpu0,ds006239,Sem,ses-11+,0.0,0.0,11,0.008993,0.0,stable
batch16 vs main_sweep_gpu0,ds006239,SemLocal,ses-11,0.0,0.0,11,0.015084,0.0,stable
batch16 vs main_sweep_gpu0,ds006239,SemLocal,ses-11+,0.0,0.0,11,0.009137,0.0,stable
