dataset,task,session,family,params,n_checkpoints,rsa_mean,rsa_sd,rsa_max,frac_of_ceiling_mean,ceiling_lower
ds002236,Phon,ses-11,babylm-gpt2,134601216.0,9,0.05030482553227269,0.008444140325400187,0.0596306755392925,0.21432625608842956,0.23471144623324758
ds002236,Phon,ses-11,babylm-gpt2-3,134601216.0,9,0.04618331608987733,0.013020621620064541,0.0686112426131461,0.19676635643914042,0.23471144623324758
ds002236,Phon,ses-11,babylm-gpt2-5,134601216.0,9,0.046333528406579345,0.01147950480775965,0.0646628744537656,0.1974063436196239,0.23471144623324758
ds002236,Phon,ses-11,babylm-gpt2-7,134601216.0,9,0.04910040395250073,0.011567942637365115,0.0619596303600323,0.20919475696854836,0.23471144623324758
ds002236,Phon,ses-11,parc-mamba-seed0,,11,0.02248029157535701,0.02071958269945132,0.0549894353748503,0.09577842042273867,0.23471144623324758
ds002236,Phon,ses-11,parc-mamba-seed1,,11,0.021415368667864827,0.012107701202606166,0.0408868548036294,0.0912412624588535,0.23471144623324758
ds002236,Phon,ses-11,parc-mamba-seed2,,11,0.04385512007138558,0.01314879956010347,0.0655649941776996,0.18684695942695517,0.23471144623324758
ds002236,Phon,ses-11,parc-pythia-seed0,,11,0.023525147337098307,0.020284988623050337,0.0593403340386777,0.10023008129616263,0.23471144623324758
ds002236,Phon,ses-11,parc-pythia-seed1,,11,0.021160881744121528,0.024077042431448054,0.0591239174891728,0.09015700803569938,0.23471144623324758
ds002236,Phon,ses-11,parc-pythia-seed2,,11,0.01716916770957958,0.021644654610951882,0.0594713484208593,0.07315010829304634,0.23471144623324758
ds002236,Phon,ses-11,parc-rwkv-seed0,,11,0.014048940006988801,0.021407960480348882,0.0443395185422712,0.059856220190588755,0.23471144623324758
ds002236,Phon,ses-11,parc-rwkv-seed1,,11,0.0003912895474507919,0.022928951873237013,0.0353356684935893,0.0016671089277083765,0.23471144623324758
ds002236,Phon,ses-11,parc-rwkv-seed2,,11,0.01907051019050592,0.01689303686252375,0.0458042648504221,0.08125087419705279,0.23471144623324758
ds002236,Phon,ses-11,polypythia-160m-seed1,,11,0.013745767427626182,0.05025792154087011,0.0687954108782277,0.05856453806673811,0.23471144623324758
ds002236,Phon,ses-11,polypythia-160m-seed2,,11,0.027849509482984872,0.03561903049647923,0.0737229763781987,0.11865424515900712,0.23471144623324758
ds002236,Phon,ses-11,polypythia-160m-seed3,,11,0.014724969370295427,0.03287721253312858,0.0886660644688629,0.06273647751998551,0.23471144623324758
ds002236,Phon,ses-11,polypythia-410m-seed1,,11,0.03158558547582808,0.034024459215810515,0.0790684533811532,0.13457198608217633,0.23471144623324758
ds002236,Phon,ses-11,polypythia-410m-seed2,,11,0.014692709258529718,0.024716409193066998,0.0472448100115101,0.06259903168049438,0.23471144623324758
ds002236,Phon,ses-11,polypythia-410m-seed3,,11,0.034009490016983335,0.027501463745232244,0.0863976606707822,0.14489915410084414,0.23471144623324758
ds002236,Phon,ses-11,polypythia-70m-seed1,,11,0.02670002826833766,0.01907873070445803,0.0666781313959064,0.11375682224634306,0.23471144623324758
ds002236,Phon,ses-11,polypythia-70m-seed2,,11,0.007642307657334545,0.053113721666766874,0.0845581947952753,0.03256043870029202,0.23471144623324758
ds002236,Phon,ses-11,polypythia-70m-seed3,,11,0.0035993276046336455,0.027115737189400798,0.0501460903779495,0.015335117491699858,0.23471144623324758
ds002236,Phon,ses-11,pythia-1.4b-full,1515311488.0,11,0.03048965876654046,0.03135120644819291,0.0829237292536136,0.12990273485103473,0.23471144623324758
ds002236,Phon,ses-11,pythia-160m-full,212654688.0,11,0.025492562069601075,0.032270523905027805,0.0679627605338395,0.10861235137321555,0.23471144623324758
ds002236,Phon,ses-11,pythia-1b-full,1078891008.0,11,0.024909556192137403,0.025744001113420303,0.0671514696219229,0.10612842531498529,0.23471144623324758
ds002236,Phon,ses-11,pythia-2.8b-full,,4,0.04655482442735835,0.0006410551353353,0.0475164071303613,0.1983491865202598,0.23471144623324758
ds002236,Phon,ses-11,pythia-410m-full,505997504.0,11,0.027634676957477355,0.015314418391452839,0.0457202686066489,0.11773894030721889,0.23471144623324758
ds002236,Phon,ses-11,pythia-6.9b-full,,1,0.0116065295407799,,0.0116065295407799,0.04945020674128418,0.23471144623324758
ds002236,Phon,ses-11,pythia-70m-full,95592496.0,11,0.01959707693363439,0.025935965494237528,0.0580040065518037,0.08349433846596276,0.23471144623324758
ds002236,Phon,ses-11+,babylm-gpt2,134601216.0,9,0.054878670982843075,0.006142453041633767,0.0628941944054387,0.18126909063133076,0.3027469867681776
ds002236,Phon,ses-11+,babylm-gpt2-3,134601216.0,9,0.048352903322014716,0.017789584838510272,0.0656822868523398,0.15971390446584355,0.3027469867681776
ds002236,Phon,ses-11+,babylm-gpt2-5,134601216.0,9,0.045732898857072296,0.01536792115737521,0.0588626302232417,0.1510597986301061,0.3027469867681776
ds002236,Phon,ses-11+,babylm-gpt2-7,134601216.0,9,0.04972403156853293,0.017707000318395647,0.0674429320393514,0.16424286199950888,0.3027469867681776
ds002236,Phon,ses-11+,parc-mamba-seed0,,11,0.014750409937699736,0.024626743638237546,0.0489451562777361,0.048721905030865154,0.3027469867681776
ds002236,Phon,ses-11+,parc-mamba-seed1,,11,0.022024806227915635,0.01619324287585061,0.057799693803038,0.07274987758930428,0.3027469867681776
ds002236,Phon,ses-11+,parc-mamba-seed2,,11,0.03669539103891935,0.023964240815586655,0.0687248185569536,0.1212081131860054,0.3027469867681776
ds002236,Phon,ses-11+,parc-pythia-seed0,,11,0.014449129456990617,0.026708146622597063,0.0571663146761756,0.047726749029726095,0.3027469867681776
ds002236,Phon,ses-11+,parc-pythia-seed1,,11,0.016774226527699835,0.0301337247313791,0.075505556453113,0.055406749731069536,0.3027469867681776
ds002236,Phon,ses-11+,parc-pythia-seed2,,11,0.0028282105851064453,0.027427500174746586,0.0463220772892658,0.009341829014708215,0.3027469867681776
ds002236,Phon,ses-11+,parc-rwkv-seed0,,11,0.0111702885564417,0.029846870068300363,0.0520179333730741,0.0368964483368917,0.3027469867681776
ds002236,Phon,ses-11+,parc-rwkv-seed1,,11,-0.005756194363872311,0.028339998022386226,0.0447235347458812,-0.019013217688207754,0.3027469867681776
ds002236,Phon,ses-11+,parc-rwkv-seed2,,11,0.019115498674127165,0.022533042939821824,0.0634057413786962,0.06314017813417404,0.3027469867681776
ds002236,Phon,ses-11+,polypythia-160m-seed1,,11,0.026105902767683965,0.045359971668759574,0.0801250883935357,0.08623009941854197,0.3027469867681776
ds002236,Phon,ses-11+,polypythia-160m-seed2,,11,0.02719983522367517,0.03841886783778017,0.0734959159914143,0.0898434548070429,0.3027469867681776
ds002236,Phon,ses-11+,polypythia-160m-seed3,,11,0.023614813963160928,0.035017454840910275,0.0966114050669859,0.07800181337971003,0.3027469867681776
ds002236,Phon,ses-11+,polypythia-410m-seed1,,11,0.03542842157279074,0.03427553696150895,0.0761503898893419,0.11702320129091603,0.3027469867681776
ds002236,Phon,ses-11+,polypythia-410m-seed2,,11,0.013950501554226563,0.030143542981870098,0.0637208525211608,0.04607973708722288,0.3027469867681776
ds002236,Phon,ses-11+,polypythia-410m-seed3,,11,0.034695772524094726,0.033231816491648095,0.0989452963765182,0.11460319686240945,0.3027469867681776
ds002236,Phon,ses-11+,polypythia-70m-seed1,,11,0.027020752405169827,0.024400546026133015,0.0756892677202704,0.08925192846216641,0.3027469867681776
ds002236,Phon,ses-11+,polypythia-70m-seed2,,11,0.030040745578717765,0.03984681718979587,0.0786248472299981,0.09922723228198754,0.3027469867681776
ds002236,Phon,ses-11+,polypythia-70m-seed3,,11,0.010138451891375227,0.02867272623877688,0.0640848971181746,0.0334882008227502,0.3027469867681776
ds002236,Phon,ses-11+,pythia-1.4b-full,1515311488.0,11,0.031636566832406454,0.027325596272159507,0.0878762937170181,0.10449837063657226,0.3027469867681776
ds002236,Phon,ses-11+,pythia-160m-full,212654688.0,11,0.024683759098977808,0.038582928879157805,0.0702459236816605,0.0815326334457588,0.3027469867681776
ds002236,Phon,ses-11+,pythia-1b-full,1078891008.0,11,0.027095613672209962,0.02894673467878238,0.0693490578518899,0.08949920183006771,0.3027469867681776
ds002236,Phon,ses-11+,pythia-2.8b-full,,4,0.033846809153801755,0.009869131449640101,0.0387813748786218,0.11179899597058339,0.3027469867681776
ds002236,Phon,ses-11+,pythia-410m-full,505997504.0,11,0.020272365051623418,0.020125473317374958,0.046131660390701,0.0669614098162654,0.3027469867681776
ds002236,Phon,ses-11+,pythia-6.9b-full,,1,0.0290262211285107,,0.0290262211285107,0.09587616854048805,0.3027469867681776
ds002236,Phon,ses-11+,pythia-70m-full,95592496.0,11,0.027518436398573754,0.029341301337411214,0.0807832844946279,0.09089582258879902,0.3027469867681776
ds002236,Phon,ses-9,babylm-gpt2,134601216.0,9,0.04613684781422871,0.006588503678905284,0.0543778511636656,0.1805221433257415,0.2555744517777938
ds002236,Phon,ses-9,babylm-gpt2-3,134601216.0,9,0.04946000096511365,0.009955041095066269,0.0602941717279134,0.19352482464920268,0.2555744517777938
ds002236,Phon,ses-9,babylm-gpt2-5,134601216.0,9,0.04680205447918726,0.006400151146977384,0.0533030845593143,0.18312493347292302,0.2555744517777938
