dataset,task,session,candidate,n_stim,rsa_full,rsa_relational,perm_p_full,frac_of_relational_ceiling
ds002236,Phon,ses-11+,surface_length,96,0.0092,-0.0009,0.742,-0.0021
ds002236,Phon,ses-11+,string_edit,96,-0.0062,-0.0002,0.691,-0.0004
ds002236,Phon,ses-11+,char_bigram_jaccard,96,-0.0105,-0.0113,0.564,-0.0251
ds002236,Phon,ses-11+,pair_ortho_overlap,96,0.0073,0.0062,0.692,0.0138
ds002236,Phon,ses-11+,pair_rime_match,96,0.0136,0.0196,0.369,0.0436
ds002236,Phon,ses-11+,pair_len_diff,96,0.0353,0.0201,0.095,0.0448
ds002236,Phon,ses-11+,pair_first_letter_match,96,-0.0127,0.0199,0.751,0.0443
ds002236,Phon,ses-11,surface_length,96,-0.0066,-0.0094,0.782,-0.0295
ds002236,Phon,ses-11,string_edit,96,0.0144,0.0134,0.378,0.0421
ds002236,Phon,ses-11,char_bigram_jaccard,96,0.0123,0.012,0.494,0.0377
ds002236,Phon,ses-11,pair_ortho_overlap,96,-0.0037,-0.0172,0.831,-0.0543
ds002236,Phon,ses-11,pair_rime_match,96,-0.0119,-0.0177,0.455,-0.0558
ds002236,Phon,ses-11,pair_len_diff,96,0.0171,-0.0145,0.394,-0.0457
ds002236,Phon,ses-11,pair_first_letter_match,96,-0.0113,0.0059,0.712,0.0185
ds002236,Phon,ses-9,surface_length,96,0.0025,-0.0007,0.918,-0.0023
ds002236,Phon,ses-9,string_edit,96,-0.0168,-0.0123,0.322,-0.0388
ds002236,Phon,ses-9,char_bigram_jaccard,96,0.0013,-0.0036,0.944,-0.0115
ds002236,Phon,ses-9,pair_ortho_overlap,96,0.0202,-0.0023,0.314,-0.0073
ds002236,Phon,ses-9,pair_rime_match,96,-0.0011,0.0068,0.936,0.0214
ds002236,Phon,ses-9,pair_len_diff,96,0.0248,0.0119,0.218,0.0375
ds002236,Phon,ses-9,pair_first_letter_match,96,0.0035,-0.0046,0.923,-0.0143
ds002236,Sem,ses-11+,surface_length,48,0.0049,0.0202,0.855,0.0303
ds002236,Sem,ses-11+,string_edit,48,-0.0041,-0.0162,0.9,-0.0243
