dataset,family,task,session,n_ckpt,trend_rho,trend_p,rsa_first,rsa_final,delta,rsa_mean
ds002236,babylm-gpt2,Phon,ses-11,9,0.1333,0.7324,0.0596,0.0548,-0.0048,0.0503
ds002236,babylm-gpt2,Phon,ses-11+,9,0.7167,0.0298,0.0499,0.0587,0.0088,0.0549
ds002236,babylm-gpt2,Phon,ses-9,9,0.4833,0.1875,0.0475,0.0504,0.0028,0.0461
ds002236,babylm-gpt2,Sem,ses-11,9,-0.8167,0.0072,0.0393,0.0165,-0.0228,0.0244
ds002236,babylm-gpt2,Sem,ses-11+,9,-0.8667,0.0025,0.0124,-0.0062,-0.0186,0.002
ds002236,babylm-gpt2,Sem,ses-9,9,-0.9,0.0009,0.034,0.0092,-0.0248,0.0171
ds002236,babylm-gpt2-3,Phon,ses-11,9,0.25,0.5165,0.0686,0.0515,-0.0172,0.0462
ds002236,babylm-gpt2-3,Phon,ses-11+,9,0.6667,0.0499,0.0424,0.0618,0.0194,0.0484
ds002236,babylm-gpt2-3,Phon,ses-9,9,0.5333,0.1392,0.0533,0.0539,0.0006,0.0495
ds002236,babylm-gpt2-3,Sem,ses-11,9,-0.0333,0.9322,0.0356,0.0183,-0.0173,0.0203
ds002236,babylm-gpt2-3,Sem,ses-11+,9,0.5167,0.1544,0.0063,0.0092,0.0029,0.0077
ds002236,babylm-gpt2-3,Sem,ses-9,9,0.7,0.0358,0.0081,0.0153,0.0072,0.0132
ds002236,babylm-gpt2-5,Phon,ses-11,9,0.3833,0.3085,0.0647,0.054,-0.0106,0.0463
ds002236,babylm-gpt2-5,Phon,ses-11+,9,0.8167,0.0072,0.0383,0.0589,0.0205,0.0457
ds002236,babylm-gpt2-5,Phon,ses-9,9,0.75,0.0199,0.0478,0.0533,0.0055,0.0468
ds002236,babylm-gpt2-5,Sem,ses-11,9,-0.5167,0.1544,0.0375,0.0115,-0.0259,0.0167
ds002236,babylm-gpt2-5,Sem,ses-11+,9,0.1167,0.765,0.0134,0.006,-0.0074,0.0059
ds002236,babylm-gpt2-5,Sem,ses-9,9,0.65,0.0581,0.0101,0.014,0.0039,0.0123
ds002236,babylm-gpt2-7,Phon,ses-11,9,0.1667,0.6682,0.062,0.0558,-0.0061,0.0491
ds002236,babylm-gpt2-7,Phon,ses-11+,9,0.6667,0.0499,0.0376,0.0631,0.0255,0.0497
ds002236,babylm-gpt2-7,Phon,ses-9,9,0.55,0.125,0.0462,0.0582,0.012,0.0511
ds002236,babylm-gpt2-7,Sem,ses-11,9,-0.5833,0.0992,0.0283,0.009,-0.0192,0.0132
ds002236,babylm-gpt2-7,Sem,ses-11+,9,0.25,0.5165,0.0039,0.0054,0.0014,0.0044
ds002236,babylm-gpt2-7,Sem,ses-9,9,0.7167,0.0298,0.0075,0.0152,0.0077,0.0128
ds002236,parc-mamba-seed0,Phon,ses-11,11,0.5,0.1173,0.0167,0.043,0.0263,0.0225
ds002236,parc-mamba-seed0,Phon,ses-11+,11,0.5455,0.0827,0.0121,0.0365,0.0244,0.0148
ds002236,parc-mamba-seed0,Phon,ses-9,11,0.6818,0.0208,-0.0037,0.0527,0.0564,0.0266
ds002236,parc-mamba-seed0,Sem,ses-11,11,-0.5455,0.0827,0.0815,0.0042,-0.0773,0.0375
ds002236,parc-mamba-seed0,Sem,ses-11+,11,-0.3182,0.3403,0.026,-0.0189,-0.0449,0.0144
ds002236,parc-mamba-seed0,Sem,ses-9,11,-0.6182,0.0426,0.0478,-0.022,-0.0698,0.0119
ds002236,parc-mamba-seed1,Phon,ses-11,11,0.5727,0.0655,0.0013,0.033,0.0317,0.0214
ds002236,parc-mamba-seed1,Phon,ses-11+,11,0.3727,0.2589,0.0103,0.0325,0.0221,0.022
ds002236,parc-mamba-seed1,Phon,ses-9,11,0.6909,0.0186,-0.0009,0.0414,0.0423,0.0247
ds002236,parc-mamba-seed1,Sem,ses-11,11,-0.6182,0.0426,0.0483,0.018,-0.0303,0.0335
ds002236,parc-mamba-seed1,Sem,ses-11+,11,-0.4455,0.1697,0.0029,-0.01,-0.0128,0.0163
ds002236,parc-mamba-seed1,Sem,ses-9,11,-0.4727,0.142,0.0269,0.0207,-0.0062,0.0236
ds002236,parc-mamba-seed2,Phon,ses-11,11,0.7727,0.0053,0.0329,0.0656,0.0326,0.0439
ds002236,parc-mamba-seed2,Phon,ses-11+,11,0.5909,0.0556,0.041,0.0679,0.0269,0.0367
ds002236,parc-mamba-seed2,Phon,ses-9,11,0.6636,0.026,0.0404,0.0808,0.0403,0.042
ds002236,parc-mamba-seed2,Sem,ses-11,11,-0.3909,0.2345,0.0329,0.0042,-0.0287,0.0225
ds002236,parc-mamba-seed2,Sem,ses-11+,11,-0.8,0.0031,0.0157,-0.0197,-0.0354,0.0055
ds002236,parc-mamba-seed2,Sem,ses-9,11,-0.4455,0.1697,0.0086,-0.0083,-0.0169,0.0075
ds002236,parc-pythia-seed0,Phon,ses-11,11,0.4182,0.2006,0.0161,0.0581,0.042,0.0235
ds002236,parc-pythia-seed0,Phon,ses-11+,11,0.0091,0.9788,0.0259,0.0572,0.0312,0.0144
ds002236,parc-pythia-seed0,Phon,ses-9,11,0.2909,0.3855,0.0174,0.0479,0.0305,0.017
ds002236,parc-pythia-seed0,Sem,ses-11,11,0.1091,0.7495,0.0222,0.023,0.0009,0.0169
ds002236,parc-pythia-seed0,Sem,ses-11+,11,-0.0091,0.9788,0.0198,0.0107,-0.009,0.0108
ds002236,parc-pythia-seed0,Sem,ses-9,11,-0.5,0.1173,0.0364,-0.0065,-0.0429,0.0068
ds002236,parc-pythia-seed1,Phon,ses-11,11,0.5818,0.0604,-0.0021,0.0585,0.0606,0.0212
ds002236,parc-pythia-seed1,Phon,ses-11+,11,0.0545,0.8734,0.0161,0.0755,0.0594,0.0168
ds002236,parc-pythia-seed1,Phon,ses-9,11,0.5091,0.1097,0.0142,0.0722,0.058,0.0138
ds002236,parc-pythia-seed1,Sem,ses-11,11,-0.7455,0.0085,0.0746,-0.0281,-0.1027,0.0178
ds002236,parc-pythia-seed1,Sem,ses-11+,11,-0.9,0.0002,0.0517,-0.0446,-0.0963,0.0024
ds002236,parc-pythia-seed1,Sem,ses-9,11,-0.8909,0.0002,0.057,-0.0223,-0.0793,0.0117
ds002236,parc-pythia-seed2,Phon,ses-11,11,0.4,0.2229,0.0101,0.0412,0.0311,0.0172
ds002236,parc-pythia-seed2,Phon,ses-11+,11,0.2636,0.4334,-0.0071,0.0393,0.0464,0.0028
ds002236,parc-pythia-seed2,Phon,ses-9,11,0.6273,0.0388,-0.0185,0.0366,0.0551,0.0063
ds002236,parc-pythia-seed2,Sem,ses-11,11,0.6455,0.032,0.0066,0.0385,0.032,0.0158
ds002236,parc-pythia-seed2,Sem,ses-11+,11,0.5636,0.071,-0.0056,0.0096,0.0152,-0.0023
ds002236,parc-pythia-seed2,Sem,ses-9,11,0.6455,0.032,0.0002,0.0139,0.0137,-0.0074
