dataset,family,n_cells,median_trend_rho,frac_positive,mean_delta,wilcoxon_trend_p
ds002236,parc-rwkv-seed0,6,-0.3863,0.167,-0.01145,0.0938
ds002236,parc-pythia-seed1,6,-0.3455,0.5,-0.01672,0.4375
ds002236,babylm-gpt2,6,-0.3417,0.5,-0.0099,0.4375
ds002236,parc-mamba-seed1,6,-0.0364,0.5,0.0078,1.0
ds002236,pythia-70m-full,6,-0.0274,0.5,-0.00477,0.6875
ds002236,parc-rwkv-seed1,6,0.0045,0.5,-0.00183,1.0
ds002236,parc-rwkv-seed2,6,0.0045,0.5,0.00037,1.0
ds002236,pythia-160m-full,6,0.0456,0.5,0.0125,0.5625
ds002236,parc-pythia-seed0,6,0.0591,0.667,0.00878,0.5938
ds002236,parc-mamba-seed0,6,0.0909,0.5,-0.01415,0.9062
ds002236,polypythia-410m-seed3,6,0.0911,0.5,-0.00562,0.8438
ds002236,parc-mamba-seed2,6,0.1,0.5,0.00313,0.8438
ds002236,polypythia-70m-seed1,6,0.1594,0.5,0.004,0.8438
ds002236,polypythia-160m-seed3,6,0.3235,0.667,0.00195,1.0
ds002236,babylm-gpt2-7,6,0.4,0.833,0.00355,0.2188
ds002236,polypythia-410m-seed1,6,0.4328,0.833,0.02933,0.4375
ds002236,pythia-1b-full,6,0.4465,0.833,0.02532,0.1562
ds002236,pythia-410m-full,6,0.4465,0.667,0.00865,0.6875
ds002236,polypythia-70m-seed3,6,0.4738,0.667,0.02127,1.0
ds002236,babylm-gpt2-5,6,0.5167,0.833,-0.00233,0.1562
ds002236,pythia-1.4b-full,6,0.5193,0.833,0.0206,0.0625
ds002236,babylm-gpt2-3,6,0.525,0.833,-0.00073,0.0625
ds002236,polypythia-70m-seed2,6,0.5877,0.833,0.05132,0.0625
ds002236,parc-pythia-seed2,6,0.5955,1.0,0.03225,0.0312
ds002236,polypythia-410m-seed2,6,0.6378,0.667,0.03363,0.1562
ds002236,polypythia-160m-seed1,6,0.656,1.0,0.05593,0.0312
ds002236,polypythia-160m-seed2,6,0.7745,0.667,0.03738,0.1562
