dataset,task,session,n_families,mean_trend_rho,sd_trend_rho,frac_positive,binom_p
ds002236,Phon,ses-11,27,0.5077,0.2645,0.963,0.0
ds002236,Phon,ses-11+,27,0.5163,0.2462,0.963,0.0
ds002236,Phon,ses-9,27,0.5963,0.1678,1.0,0.0
ds002236,Sem,ses-11,27,-0.1931,0.4669,0.333,0.1221
ds002236,Sem,ses-11+,27,-0.1851,0.5447,0.37,0.2478
ds002236,Sem,ses-9,27,-0.2855,0.537,0.259,0.0192
ds003604,Gram,ses-5,27,0.2539,0.5627,0.63,0.2478
ds003604,Gram,ses-7,27,0.2513,0.5087,0.667,0.1221
ds003604,Gram,ses-9,27,-0.0388,0.4871,0.519,1.0
ds003604,Phon,ses-5,27,-0.0386,0.5887,0.407,0.4421
ds003604,Phon,ses-7,27,-0.0791,0.5337,0.37,0.2478
ds003604,Phon,ses-9,27,-0.0193,0.5561,0.37,0.2478
ds003604,Plaus,ses-5,27,-0.7033,0.1595,0.0,0.0
ds003604,Plaus,ses-7,27,-0.6085,0.2526,0.037,0.0
ds003604,Plaus,ses-9,27,-0.5303,0.2481,0.0,0.0
ds003604,Sem,ses-5,27,0.0866,0.5137,0.63,0.2478
ds003604,Sem,ses-7,27,-0.1007,0.4947,0.407,0.4421
ds003604,Sem,ses-9,27,-0.0065,0.4751,0.556,0.7011
ds006239,Orth,ses-11,27,-0.3031,0.4608,0.296,0.0522
ds006239,Orth,ses-11+,27,-0.3179,0.4706,0.222,0.0059
ds006239,Phon,ses-11,27,-0.3031,0.4608,0.296,0.0522
ds006239,Phon,ses-11+,27,-0.3179,0.4706,0.222,0.0059
ds006239,Sem,ses-11,27,-0.2716,0.4601,0.296,0.0522
ds006239,Sem,ses-11+,27,-0.0578,0.5331,0.519,1.0
ds006239,SemLocal,ses-11,27,0.1352,0.4966,0.593,0.4421
ds006239,SemLocal,ses-11+,27,0.2379,0.5207,0.704,0.0522
