dataset,task,session,n_suites,mean_trend_rho,n_positive,sign_p
ds002236,Phon,ses-11,6,0.4501,6,0.0312
ds002236,Phon,ses-11+,6,0.4566,6,0.0312
ds002236,Phon,ses-9,6,0.5652,6,0.0312
ds002236,Sem,ses-11,6,-0.2472,1,0.2188
ds002236,Sem,ses-11+,6,-0.2342,1,0.2188
ds002236,Sem,ses-9,6,-0.2923,1,0.2188
ds003604,Gram,ses-5,6,0.3866,5,0.2188
ds003604,Gram,ses-7,6,0.3849,4,0.6875
ds003604,Gram,ses-9,6,0.1139,4,0.6875
ds003604,Phon,ses-5,6,-0.0346,2,0.6875
ds003604,Phon,ses-7,6,-0.1256,2,0.6875
ds003604,Phon,ses-9,6,-0.0483,2,0.6875
ds003604,Plaus,ses-5,6,-0.6915,0,0.0312
ds003604,Plaus,ses-7,6,-0.561,0,0.0312
ds003604,Plaus,ses-9,6,-0.4693,0,0.0312
ds003604,Sem,ses-5,6,0.1105,4,0.6875
ds003604,Sem,ses-7,6,-0.0266,2,0.6875
ds003604,Sem,ses-9,6,0.0453,3,1.0
ds006239,Orth,ses-11,6,-0.2635,1,0.2188
ds006239,Orth,ses-11+,6,-0.2846,1,0.2188
ds006239,Phon,ses-11,6,-0.2635,1,0.2188
ds006239,Phon,ses-11+,6,-0.2846,1,0.2188
ds006239,Sem,ses-11,6,-0.279,0,0.0312
ds006239,Sem,ses-11+,6,-0.0737,2,0.6875
ds006239,SemLocal,ses-11,6,0.0903,4,0.6875
ds006239,SemLocal,ses-11+,6,0.2196,5,0.2188
